"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55023",0,10,70,0,2007,1,"","Crawford County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",477,8249,8187,8302,52258006,32648866,858593,487
"55023",0,"10",70,0,2007,2,"","Crawford County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",480,8366,8558,8811,54023387,18774149,533184,484
"55023",0,"10",70,0,2007,3,"","Crawford County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",481,8569,8606,8743,53957439,9766461,280412,480
"55023",0,"10",70,0,2007,4,"","Crawford County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",481,8978,8689,8512,59233531,8659003,262414,522
"55023",1,10,71,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,65,66,68,591312,0,0,686
"55023",1,"10",71,0,2007,2,"","Crawford County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,67,66,68,717340,0,0,824
"55023",1,"10",71,0,2007,3,"","Crawford County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,67,72,70,698848,0,0,772
"55023",1,"10",71,0,2007,4,"","Crawford County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,69,70,60,714523,0,0,829
"55023",1,102,72,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,65,66,68,591312,0,0,686
"55023",1,"102",72,0,2007,2,"","Crawford County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,67,66,68,717340,0,0,824
"55023",1,"102",72,0,2007,3,"","Crawford County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,67,72,70,698848,0,0,772
"55023",1,"102",72,0,2007,4,"","Crawford County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",12,69,70,60,714523,0,0,829
"55023",1,1021,73,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,46,47,46,378107,0,0,628
"55023",1,"1021",73,0,2007,2,"","Crawford County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,48,47,47,454276,0,0,738
"55023",1,"1021",73,0,2007,3,"","Crawford County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,46,47,48,369951,0,0,605
"55023",1,"1021",73,0,2007,4,"","Crawford County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,46,46,45,445481,0,0,750
"55023",1,1024,73,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,10,120116,0,0,1155
"55023",1,"1024",73,0,2007,2,"","Crawford County, Wisconsin","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,12,153081,0,0,1039
"55023",1,"1024",73,0,2007,3,"","Crawford County, Wisconsin","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,225189,0,0,1444
"55023",1,"1024",73,0,2007,4,"","Crawford County, Wisconsin","Federal Government","Professional and Business Services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,12,7,157915,0,0,1139
"55023",1,1028,73,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,12,12,12,93089,0,0,597
"55023",1,"1028",73,0,2007,2,"","Crawford County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,8,9,109983,0,0,1015
"55023",1,"1028",73,0,2007,3,"","Crawford County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,13,10,103708,0,0,748
"55023",1,"1028",73,0,2007,4,"","Crawford County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,12,8,111127,0,0,855
"55023",1,48-49,74,0,2007,1,"","Crawford County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,46,47,46,378107,0,0,628
