"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55111",0,10,70,0,2007,1,"","Sauk County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1941,35508,35110,35705,261140601,173525339,4879499,567
"55111",0,"10",70,0,2007,2,"","Sauk County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1963,35931,36870,39420,276507867,80307816,2359712,569
"55111",0,"10",70,0,2007,3,"","Sauk County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1976,39192,39309,38025,281179533,49414642,1416126,557
"55111",0,"10",70,0,2007,4,"","Sauk County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1973,36745,36451,36692,284587162,28963121,727474,598
"55111",1,10,71,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,154,154,151,1489521,0,0,749
"55111",1,"10",71,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,150,149,148,1733172,0,0,895
"55111",1,"10",71,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,156,156,152,1533174,0,0,763
"55111",1,"10",71,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,151,151,152,1802257,0,0,916
"55111",1,102,72,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,154,154,151,1489521,0,0,749
"55111",1,"102",72,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,150,149,148,1733172,0,0,895
"55111",1,"102",72,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,156,156,152,1533174,0,0,763
"55111",1,"102",72,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",20,151,151,152,1802257,0,0,916
"55111",1,1021,73,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"1021",73,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"1021",73,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"1021",73,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,1023,73,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22483,0,0,1729
"55111",1,"1023",73,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
"55111",1,"1023",73,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22550,0,0,1735
"55111",1,"1023",73,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
"55111",1,1028,73,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,24,24,20,259642,0,0,881
"55111",1,"1028",73,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,21,20,19,273788,0,0,1053
"55111",1,"1028",73,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,23,23,22,273901,0,0,930
"55111",1,"1028",73,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",5,19,18,19,282327,0,0,1163
"55111",1,48-49,74,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"48-49",74,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"48-49",74,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"48-49",74,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,491,75,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"491",75,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"491",75,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"491",75,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,4911,76,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"4911",76,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"4911",76,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"4911",76,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,49111,77,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"49111",77,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"49111",77,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"49111",77,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,491110,78,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,129,129,130,1207396,0,0,718
"55111",1,"491110",78,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,128,128,128,1433075,0,0,861
"55111",1,"491110",78,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,132,132,129,1236723,0,0,726
"55111",1,"491110",78,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,131,132,132,1493621,0,0,873
"55111",1,52,74,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,22483,0,0,1729
"55111",1,"52",74,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
"55111",1,"52",74,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,22550,0,0,1735
"55111",1,"52",74,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
"55111",1,522,75,0,2007,1,"","Sauk County, Wisconsin","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22483,0,0,1729
"55111",1,"522",75,0,2007,2,"","Sauk County, Wisconsin","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
"55111",1,"522",75,0,2007,3,"","Sauk County, Wisconsin","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22550,0,0,1735
"55111",1,"522",75,0,2007,4,"","Sauk County, Wisconsin","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,26309,0,0,2024
