"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55129",0,10,70,0,2007,1,"","Washburn County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",585,5449,5464,5577,36848987,19464798,409338,516
"55129",0,"10",70,0,2007,2,"","Washburn County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",590,5804,5950,6104,40064990,11817576,294512,518
"55129",0,"10",70,0,2007,3,"","Washburn County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",586,5818,5783,5868,38375062,6548827,177243,507
"55129",0,"10",70,0,2007,4,"","Washburn County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",592,5852,5697,5564,39145740,3994711,98286,528
"55129",1,10,71,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,115,107,109,1082509,0,0,755
"55129",1,"10",71,0,2007,2,"","Washburn County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,110,109,115,1254187,0,0,867
"55129",1,"10",71,0,2007,3,"","Washburn County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,124,124,116,1209885,0,0,767
"55129",1,"10",71,0,2007,4,"","Washburn County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,118,107,109,1377926,0,0,952
"55129",1,102,72,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,115,107,109,1082509,0,0,755
"55129",1,"102",72,0,2007,2,"","Washburn County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,110,109,115,1254187,0,0,867
"55129",1,"102",72,0,2007,3,"","Washburn County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,124,124,116,1209885,0,0,767
"55129",1,"102",72,0,2007,4,"","Washburn County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",13,118,107,109,1377926,0,0,952
"55129",1,1021,73,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,87,81,82,777922,0,0,718
"55129",1,"1021",73,0,2007,2,"","Washburn County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,81,79,80,909305,0,0,874
"55129",1,"1021",73,0,2007,3,"","Washburn County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,82,82,80,814499,0,0,770
"55129",1,"1021",73,0,2007,4,"","Washburn County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,82,78,75,960440,0,0,943
"55129",1,1023,73,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,4,4,55065,0,0,977
"55129",1,"1023",73,0,2007,2,"","Washburn County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,81283,0,0,893
"55129",1,"1023",73,0,2007,3,"","Washburn County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,10,8,98612,0,0,843
"55129",1,"1023",73,0,2007,4,"","Washburn County, Wisconsin","Federal Government","Financial Activities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,118786,0,0,1015
"55129",1,1026,73,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,7,86563,0,0,1051
"55129",1,"1026",73,0,2007,2,"","Washburn County, Wisconsin","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,16,77381,0,0,576
"55129",1,"1026",73,0,2007,3,"","Washburn County, Wisconsin","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,21,16,13,130412,0,0,602
"55129",1,"1026",73,0,2007,4,"","Washburn County, Wisconsin","Federal Government","Leisure and Hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,9,13,106776,0,0,725
"55129",1,1028,73,0,2007,1,"","Washburn County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,16,16,162959,0,0,767
