"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55133",0,10,70,0,2007,1,"","Waukesha County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13146,232085,231256,232825,2589781656,1452852229,36859067,858
"55133",0,"10",70,0,2007,2,"","Waukesha County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13333,234507,238197,241280,2514427214,460011032,13111503,813
"55133",0,"10",70,0,2007,3,"","Waukesha County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13387,236363,238143,236891,2503196817,254287272,7175826,812
"55133",0,"10",70,0,2007,4,"","Waukesha County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13386,239113,239302,238821,2774865343,201799952,5487607,893
"55133",1,10,71,0,2007,1,"","Waukesha County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,859,862,860,10960004,0,0,980
"55133",1,"10",71,0,2007,2,"","Waukesha County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,861,860,862,12512762,0,0,1118
"55133",1,"10",71,0,2007,3,"","Waukesha County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,875,874,862,10782929,0,0,953
"55133",1,"10",71,0,2007,4,"","Waukesha County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,867,866,858,13130772,0,0,1170
"55133",1,102,72,0,2007,1,"","Waukesha County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",36,859,862,860,10960004,0,0,980
"55133",1,"102",72,0,2007,2,"","Waukesha County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",36,861,860,862,12512762,0,0,1118
"55133",1,"102",72,0,2007,3,"","Waukesha County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",36,875,874,862,10782929,0,0,953
