"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55139",0,10,70,0,2007,1,"","Winnebago County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3746,88305,87735,88506,944180850,493474447,12469630,824
"55139",0,"10",70,0,2007,2,"","Winnebago County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3792,89438,90228,91878,880216706,143284471,4007292,748
"55139",0,"10",70,0,2007,3,"","Winnebago County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3827,90351,90039,90616,901377959,77074711,2204875,768
"55139",0,"10",70,0,2007,4,"","Winnebago County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3818,90859,91157,90919,965618249,60706671,1738676,816
"55139",1,10,71,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,520,520,518,6268758,0,0,929
"55139",1,"10",71,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,519,512,523,7094493,0,0,1054
"55139",1,"10",71,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,527,526,522,6261707,0,0,917
"55139",1,"10",71,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,522,522,499,7288183,0,0,1090
"55139",1,102,72,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,520,520,518,6268758,0,0,929
"55139",1,"102",72,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,519,512,523,7094493,0,0,1054
"55139",1,"102",72,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,527,526,522,6261707,0,0,917
"55139",1,"102",72,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",21,522,522,499,7288183,0,0,1090
"55139",1,1021,73,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"1021",73,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"1021",73,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"1021",73,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Trade, Transportation, and Utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,1028,73,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,54,54,49,713457,0,0,1049
"55139",1,"1028",73,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,52,53,59,750862,0,0,1057
"55139",1,"1028",73,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,62,62,58,819721,0,0,1039
"55139",1,"1028",73,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",10,59,60,56,858395,0,0,1132
"55139",1,48-49,74,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"48-49",74,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"48-49",74,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"48-49",74,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,491,75,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"491",75,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"491",75,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"491",75,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,4911,76,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"4911",76,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"4911",76,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"4911",76,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,49111,77,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"49111",77,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"49111",77,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"49111",77,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,491110,78,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,466,466,469,5555301,0,0,915
"55139",1,"491110",78,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,467,459,464,6343631,0,0,1053
"55139",1,"491110",78,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,465,464,464,5441986,0,0,902
"55139",1,"491110",78,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,463,462,443,6429788,0,0,1085
"55139",1,92,74,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,54,54,49,713457,0,0,1049
"55139",1,"92",74,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,52,53,59,750862,0,0,1057
"55139",1,"92",74,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,62,62,58,819721,0,0,1039
"55139",1,"92",74,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,59,60,56,858395,0,0,1132
"55139",1,921,75,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,6,5,67705,0,0,977
"55139",1,"921",75,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,105846,0,0,1357
"55139",1,"921",75,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,88448,0,0,1134
"55139",1,"921",75,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,119280,0,0,1529
"55139",1,9211,76,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,6,5,67705,0,0,977
"55139",1,"9211",76,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,105846,0,0,1357
"55139",1,"9211",76,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,88448,0,0,1134
"55139",1,"9211",76,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,119280,0,0,1529
"55139",1,92113,77,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,5,4,66871,0,0,1187
"55139",1,"92113",77,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,104802,0,0,1612
"55139",1,"92113",77,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,87629,0,0,1348
"55139",1,"92113",77,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,118081,0,0,1817
"55139",1,921130,78,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,5,4,66871,0,0,1187
"55139",1,"921130",78,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,104802,0,0,1612
"55139",1,"921130",78,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,87629,0,0,1348
"55139",1,"921130",78,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,118081,0,0,1817
"55139",1,92119,77,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,834,0,0,64
"55139",1,"92119",77,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,1044,0,0,80
"55139",1,"92119",77,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,819,0,0,63
"55139",1,"92119",77,0,2007,4,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,1199,0,0,92
"55139",1,921190,78,0,2007,1,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,834,0,0,64
"55139",1,"921190",78,0,2007,2,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,1044,0,0,80
"55139",1,"921190",78,0,2007,3,"","Winnebago County, Wisconsin","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,819,0,0,63
