"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"55999",0,10,70,0,2007,1,"","Unknown Or Undefined, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11089,38137,38191,38592,477377383,272351301,7043194,959
"55999",0,"10",70,0,2007,2,"","Unknown Or Undefined, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10374,36470,37617,38501,451503405,86890873,2718943,925
"55999",0,"10",70,0,2007,3,"","Unknown Or Undefined, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10606,37166,37552,37944,441305550,59407709,1763420,904
"55999",0,"10",70,0,2007,4,"","Unknown Or Undefined, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11775,39383,40387,41096,489825555,62693381,1943470,935
"55999",1,10,71,0,2007,1,"","Unknown Or Undefined, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"55999",1,"10",71,0,2007,2,"","Unknown Or Undefined, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"55999",1,"10",71,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,0,1,1,8599,0,0,992
"55999",1,"10",71,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,0,0,0,924,0,0,0
"55999",1,102,72,0,2007,1,"","Unknown Or Undefined, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"55999",1,"102",72,0,2007,2,"","Unknown Or Undefined, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"55999",1,"102",72,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,0,1,1,8599,0,0,992
"55999",1,"102",72,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Service-Providing","County, by Domain -- by ownership sector","All establishment sizes",9,0,0,0,924,0,0,0
"55999",1,1028,73,0,2007,1,"-","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"1028",73,0,2007,2,"-","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"1028",73,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,2431,0,0,0
"55999",1,"1028",73,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"55999",1,1029,73,0,2007,1,"","Unknown Or Undefined, Wisconsin","Federal Government","Unclassified","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"55999",1,"1029",73,0,2007,2,"","Unknown Or Undefined, Wisconsin","Federal Government","Unclassified","County, by Supersector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0
"55999",1,"1029",73,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Unclassified","County, by Supersector -- by ownership sector","All establishment sizes",8,0,1,1,6168,0,0,712
"55999",1,"1029",73,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Unclassified","County, by Supersector -- by ownership sector","All establishment sizes",8,0,0,0,924,0,0,0
"55999",1,92,74,0,2007,1,"-","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"92",74,0,2007,2,"-","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"92",74,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,2431,0,0,0
"55999",1,"92",74,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Public Administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"55999",1,923,75,0,2007,1,"-","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"923",75,0,2007,2,"-","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"923",75,0,2007,3,"","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,2431,0,0,0
"55999",1,"923",75,0,2007,4,"","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"55999",1,9231,76,0,2007,1,"-","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"55999",1,"9231",76,0,2007,2,"-","Unknown Or Undefined, Wisconsin","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
