"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1170",0,10,40,0,2007,1,"","Asheville, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12597,169717,170196,172612,1381673710,920155917,15568764,622
"C1170",0,"10",40,0,2007,2,"","Asheville, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12711,173126,175355,176166,1424568226,653266610,11094957,627
"C1170",0,"10",40,0,2007,3,"","Asheville, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12844,173757,175298,177373,1440518275,418522377,6860926,631
"C1170",0,"10",40,0,2007,4,"","Asheville, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",13055,176968,176936,177313,1584802669,303926401,4825937,688
"C1170",1,10,41,0,2007,1,"","Asheville, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",91,3037,3011,3005,49637476,0,0,1265
"C1170",1,"10",41,0,2007,2,"","Asheville, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",91,2993,2987,3046,52145582,0,0,1333
"C1170",1,"10",41,0,2007,3,"","Asheville, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,2958,2944,2971,49632887,0,0,1291
"C1170",1,"10",41,0,2007,4,"","Asheville, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,3055,3074,3050,55225969,0,0,1388
"C1170",2,10,41,0,2007,1,"","Asheville, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,5282,5543,5596,46356242,0,0,651
"C1170",2,"10",41,0,2007,2,"","Asheville, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,5596,5647,5161,48066822,0,0,676
"C1170",2,"10",41,0,2007,3,"","Asheville, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",91,5086,5201,5677,48497160,0,0,701
"C1170",2,"10",41,0,2007,4,"","Asheville, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,5796,5701,5748,51241830,3106,0,686
"C1170",3,10,41,0,2007,1,"","Asheville, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",188,17614,17576,17763,145710452,12679728,114715,635
"C1170",3,"10",41,0,2007,2,"","Asheville, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",188,17872,17949,17273,148251149,8286224,74872,644
"C1170",3,"10",41,0,2007,3,"","Asheville, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",189,14574,15816,18235,145778530,12107385,114298,692
"C1170",3,"10",41,0,2007,4,"","Asheville, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",189,17611,17905,17780,168420066,2173988,19848,729
"C1170",5,10,41,0,2007,1,"","Asheville, NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12230,143784,144066,146248,1139969540,907476189,15454049,606
"C1170",5,"10",41,0,2007,2,"","Asheville, NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12344,146665,148772,150686,1176104673,644980386,11020085,608
"C1170",5,"10",41,0,2007,3,"","Asheville, NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12472,151139,151337,150490,1196609698,406414992,6746628,610
"C1170",5,"10",41,0,2007,4,"","Asheville, NC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12682,150506,150256,150735,1309914804,301749307,4806089,670
"C1170",5,101,42,0,2007,1,"","Asheville, NC MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",2356,33613,33337,33915,336524826,296165726,6519136,770
"C1170",5,"101",42,0,2007,2,"","Asheville, NC MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",2394,33873,34202,34438,335175076,190845909,4216045,755
"C1170",5,"101",42,0,2007,3,"","Asheville, NC MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",2399,34478,34736,34573,347987517,90052997,1944742,774
"C1170",5,"101",42,0,2007,4,"","Asheville, NC MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",2413,34509,34128,33911,364473306,56138184,1190751,820
"C1170",5,1011,43,0,2007,1,"","Asheville, NC MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",97,952,973,1093,6292348,5518061,95685,481
"C1170",5,"1011",43,0,2007,2,"","Asheville, NC MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",102,1044,1117,1185,7221023,5467588,91327,498
"C1170",5,"1011",43,0,2007,3,"","Asheville, NC MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",103,1309,1401,1458,8495387,5235485,77481,470
"C1170",5,"1011",43,0,2007,4,"","Asheville, NC MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",105,1418,1277,1230,7525763,2955580,43111,442
"C1170",5,1012,43,0,2007,1,"","Asheville, NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1744,11514,11410,11898,94663647,86691770,2010329,627
"C1170",5,"1012",43,0,2007,2,"","Asheville, NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1773,11919,12100,12288,104239264,72140123,1696519,663
"C1170",5,"1012",43,0,2007,3,"","Asheville, NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1780,12077,12192,12152,105899183,41395217,916769,671
"C1170",5,"1012",43,0,2007,4,"","Asheville, NC MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1793,12364,12225,11969,117190889,28942945,633006,740
"C1170",5,1013,43,0,2007,1,"","Asheville, NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",515,21147,20954,20924,235568831,203955895,4413122,863
"C1170",5,"1013",43,0,2007,2,"","Asheville, NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",519,20910,20985,20965,223714789,113238198,2428199,821
"C1170",5,"1013",43,0,2007,3,"","Asheville, NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",516,21092,21143,20963,233592947,43422295,950492,853
"C1170",5,"1013",43,0,2007,4,"","Asheville, NC MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",515,20727,20626,20712,239756654,24239659,514634,891
"C1170",5,102,42,0,2007,1,"","Asheville, NC MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",9874,110171,110729,112333,803444714,611310463,8934913,556
"C1170",5,"102",42,0,2007,2,"","Asheville, NC MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",9950,112792,114570,116248,840929597,454134477,6804040,565
