"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1262",0,10,40,0,2007,1,"","Bangor, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4538,69914,69702,69751,562510659,298709019,5312567,620
"C1262",0,"10",40,0,2007,2,"","Bangor, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4542,70222,71414,71848,571084369,155056386,2977849,617
"C1262",0,"10",40,0,2007,3,"","Bangor, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4559,70256,70376,72090,581444801,86055921,1743217,631
"C1262",0,"10",40,0,2007,4,"","Bangor, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4560,72632,72825,72861,620973648,61027782,1191619,656
"C1262",1,10,41,0,2007,1,"","Bangor, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",98,1330,1312,1306,16699426,0,0,976
"C1262",1,"10",41,0,2007,2,"","Bangor, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",98,1302,1312,1326,18227265,0,0,1068
"C1262",1,"10",41,0,2007,3,"","Bangor, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",98,1315,1319,1309,17647763,0,0,1033
"C1262",1,"10",41,0,2007,4,"","Bangor, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",98,1304,1308,1275,18969758,0,0,1126
"C1262",2,10,41,0,2007,1,"","Bangor, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,5176,5278,5270,50016264,380850,10555,734
"C1262",2,"10",41,0,2007,2,"","Bangor, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,5250,5357,4863,49507570,278641,8271,739
"C1262",2,"10",41,0,2007,3,"","Bangor, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,4981,4945,5475,54390925,249211,9290,815
"C1262",2,"10",41,0,2007,4,"","Bangor, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,5572,5516,5525,50761164,111854,3721,705
"C1262",3,10,41,0,2007,1,"","Bangor, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",277,6661,6621,6683,51699318,468576,7180,598
"C1262",3,"10",41,0,2007,2,"","Bangor, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",277,6672,6874,7063,52816276,264840,4279,591
"C1262",3,"10",41,0,2007,3,"","Bangor, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",279,5361,5331,6665,46951984,134528,2074,624
"C1262",3,"10",41,0,2007,4,"","Bangor, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",279,6798,6895,6880,52324983,143271,2180,587
"C1262",5,10,41,0,2007,1,"","Bangor, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4137,56747,56491,56492,444095651,297859593,5294832,604
"C1262",5,"10",41,0,2007,2,"","Bangor, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4141,56998,57871,58596,450533258,154512905,2965299,599
"C1262",5,"10",41,0,2007,3,"","Bangor, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4156,58599,58781,58641,462454129,85672182,1731853,606
"C1262",5,"10",41,0,2007,4,"","Bangor, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4157,58958,59106,59181,498917743,60772657,1185718,650
"C1262",5,101,42,0,2007,1,"","Bangor, ME MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",787,7922,7735,7796,74405515,63249303,1585039,732
"C1262",5,"101",42,0,2007,2,"","Bangor, ME MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",779,7819,8161,8727,76362400,27623829,787550,713
"C1262",5,"101",42,0,2007,3,"","Bangor, ME MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",788,8823,8841,8771,83246321,15264194,480202,727
"C1262",5,"101",42,0,2007,4,"","Bangor, ME MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",789,9003,8878,8605,91031387,9998100,292801,793
"C1262",5,1011,43,0,2007,1,"","Bangor, ME MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",120,867,846,832,8130254,7172819,230950,737
"C1262",5,"1011",43,0,2007,2,"","Bangor, ME MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",117,693,661,787,6193877,1866221,60194,668
"C1262",5,"1011",43,0,2007,3,"","Bangor, ME MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",125,834,865,869,8267687,1346429,45175,743
"C1262",5,"1011",43,0,2007,4,"","Bangor, ME MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",125,891,883,878,8928075,943957,30751,777
"C1262",5,1012,43,0,2007,1,"","Bangor, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",507,2822,2678,2751,26551745,21277412,666406,743
"C1262",5,"1012",43,0,2007,2,"","Bangor, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",505,2943,3210,3455,28675147,12850618,434190,689
"C1262",5,"1012",43,0,2007,3,"","Bangor, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",504,3483,3514,3500,31816631,8608793,301687,699
"C1262",5,"1012",43,0,2007,4,"","Bangor, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",504,3510,3410,3184,34900984,6237013,199137,797
"C1262",5,1013,43,0,2007,1,"","Bangor, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",160,4233,4211,4213,39723516,34799072,687683,724
"C1262",5,"1013",43,0,2007,2,"","Bangor, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",157,4183,4290,4485,41493376,12906990,293166,739
"C1262",5,"1013",43,0,2007,3,"","Bangor, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",159,4506,4462,4402,43162003,5308972,133340,745
"C1262",5,"1013",43,0,2007,4,"","Bangor, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",160,4602,4585,4543,47202328,2817130,62913,793
"C1262",5,102,42,0,2007,1,"","Bangor, ME MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",3350,48825,48756,48696,369690136,234610290,3709793,583
"C1262",5,"102",42,0,2007,2,"","Bangor, ME MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",3362,49179,49710,49869,374170858,126889076,2177749,580
"C1262",5,"102",42,0,2007,3,"","Bangor, ME MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",3368,49776,49940,49870,379207808,70407988,1251651,585
"C1262",5,"102",42,0,2007,4,"","Bangor, ME MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",3368,49955,50228,50576,407886356,50774557,892917,624
