"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1538",0,10,40,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",27894,517990,519505,523405,5081746489,2125029988,74067884,751
"C1538",0,"10",40,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",27982,523010,533216,535934,4944832988,672006687,24097702,717
"C1538",0,"10",40,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",28068,512077,513790,532598,4761766500,423850269,15265479,705
"C1538",0,"10",40,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",27988,539133,539707,539892,5372726284,334193472,11593862,766
"C1538",1,10,41,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,10034,9925,9822,131984043,0,0,1023
"C1538",1,"10",41,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,9874,9871,9906,145203464,0,0,1130
"C1538",1,"10",41,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,9941,9898,9834,133482123,0,0,1038
"C1538",1,"10",41,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,9933,10043,9918,148262723,0,0,1145
"C1538",2,10,41,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64,20624,20752,20840,225084107,502304,21599,835
"C1538",2,"10",41,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64,20717,20639,19723,226387103,97977,4213,855
"C1538",2,"10",41,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64,19287,19919,20867,227000707,37430,1609,872
"C1538",2,"10",41,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64,20991,21048,20778,233777902,18469,794,859
"C1538",3,10,41,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",477,60920,62176,62470,632267090,1582601,54890,786
"C1538",3,"10",41,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",477,61940,62792,63301,712110184,264436,6347,874
"C1538",3,"10",41,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",478,43266,43023,59806,455563217,214210,6552,720
"C1538",3,"10",41,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",479,62974,63229,63519,662705183,147366,2948,806
"C1538",5,10,41,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27203,426412,426652,430273,4092411249,2122945083,73991395,736
"C1538",5,"10",41,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27291,430479,439914,443004,3861132237,671644274,24087142,678
"C1538",5,"10",41,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27376,439583,440950,442091,3945720453,423598629,15257318,688
"C1538",5,"10",41,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27295,445235,445387,445677,4327980476,334027637,11590120,747
"C1538",5,101,42,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",4122,78748,77572,78452,1069987717,589320373,28148563,1052
"C1538",5,"101",42,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",4162,79711,82519,83925,1025560654,127885248,7221689,961
"C1538",5,"101",42,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",4176,83370,83958,83263,1043068282,68935651,4047588,961
"C1538",5,"101",42,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",4168,82533,81647,80103,1160332856,49385950,2625889,1096
"C1538",5,1011,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",152,1184,1213,1335,8841486,6637209,282121,547
"C1538",5,"1011",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",154,1563,1741,1852,11709266,4593055,245344,524
"C1538",5,"1011",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",152,1863,1865,1861,12294673,3809606,182249,508
"C1538",5,"1011",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",152,1766,1556,1362,13487144,2127122,96555,664
"C1538",5,1012,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2544,16968,15751,16565,175813264,117198638,8112328,823
"C1538",5,"1012",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2589,17672,20044,21095,208299864,54647982,4163598,817
"C1538",5,"1012",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2601,21384,21580,20946,232847198,34519933,2585283,841
"C1538",5,"1012",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2589,20845,20028,18921,245488408,21017063,1448418,947
"C1538",5,1013,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1426,60596,60608,60552,885332967,465484526,19754114,1124
"C1538",5,"1013",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1419,60476,60734,60978,805551524,68644211,2812747,1020
"C1538",5,"1013",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1423,60123,60513,60456,797926411,30606112,1280056,1017
"C1538",5,"1013",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1427,59922,60063,59820,901357304,26241765,1080916,1157
"C1538",5,102,42,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",23081,347664,349080,351821,3022423532,1533624710,45842832,665
"C1538",5,"102",42,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",23129,350768,357395,359079,2835571583,543759026,16865453,613
"C1538",5,"102",42,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",23200,356213,356992,358828,2902652171,354662978,11209730,625
"C1538",5,"102",42,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",23127,362702,363740,365574,3167647620,284641687,8964231,669
"C1538",5,1021,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",6227,99634,97833,98152,774990123,509153668,15023528,605
"C1538",5,"1021",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",6276,97697,99785,100914,759540513,170654034,5114664,587
"C1538",5,"1021",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",6249,99545,99644,100961,772730330,103744416,3073246,594
"C1538",5,"1021",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",6223,101564,103758,105511,839709238,86167198,2479255,623
"C1538",5,1022,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",358,8310,8241,8224,107688189,55180240,1613474,1003
"C1538",5,"1022",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",352,8212,8314,8330,100861155,9078905,277244,936
"C1538",5,"1022",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",353,8325,8254,8123,94565077,4619812,134072,883
"C1538",5,"1022",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",351,8066,8120,8071,98134988,3900746,124975,934
"C1538",5,1023,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2553,32889,32946,33177,493797403,201738678,5610389,1151
"C1538",5,"1023",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2506,32533,32661,33245,366885275,38602440,1094963,860
"C1538",5,"1023",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2508,33094,33059,32652,384348219,22937299,664756,898
"C1538",5,"1023",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2506,32923,33029,33560,399412742,18335203,540508,926
"C1538",5,1024,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",4196,64076,64454,65201,695660787,370714450,13285793,829
"C1538",5,"1024",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",4240,65687,66288,67560,663227322,119756409,4906649,767
"C1538",5,"1024",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",4289,67421,67918,67405,683543435,81855311,3444575,778
"C1538",5,"1024",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",4299,67874,67327,67274,744050735,69514707,2804355,848
"C1538",5,1025,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",3334,79031,80671,81386,614142932,189791337,4312957,588
"C1538",5,"1025",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",3363,80827,81050,79499,662358787,70882372,1555649,633
"C1538",5,"1025",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",3358,78033,77806,80664,649737858,40460897,919207,634
"C1538",5,"1025",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",3356,82512,82597,82624,728239563,31999223,778504,678
"C1538",5,1026,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2803,45067,45968,46320,234708423,139094935,4055781,394
"C1538",5,"1026",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2823,46737,49951,50090,178684376,103496979,3063277,281
"C1538",5,"1026",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2851,50387,50751,49634,211886649,81960837,2442686,324
"C1538",5,"1026",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Leisure and Hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2835,50138,49347,48800,248354060,59933109,1793440,387
"C1538",5,1027,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Other Services","MSA, by Supersector -- by ownership sector","All establishment sizes",2853,17999,18189,18516,97977191,65096155,1834929,413
"C1538",5,"1027",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Other Services","MSA, by Supersector -- by ownership sector","All establishment sizes",2862,18498,18730,18797,100652702,29549776,786034,415
"C1538",5,"1027",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Other Services","MSA, by Supersector -- by ownership sector","All establishment sizes",2854,18730,18784,18587,101925708,17185713,456481,419
"C1538",5,"1027",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Other Services","MSA, by Supersector -- by ownership sector","All establishment sizes",2837,18899,18808,18931,104873866,13155099,378013,427
"C1538",5,1029,43,0,2007,1,"","Buffalo-Niagara Falls, NY MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",757,658,778,845,3458484,2855247,105981,350
"C1538",5,"1029",43,0,2007,2,"","Buffalo-Niagara Falls, NY MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",707,577,616,644,3361453,1738111,66973,422
"C1538",5,"1029",43,0,2007,3,"","Buffalo-Niagara Falls, NY MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",738,678,776,802,3914895,1898693,74707,400
"C1538",5,"1029",43,0,2007,4,"","Buffalo-Niagara Falls, NY MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",720,726,754,803,4872428,1636402,65181,493
"C1538",5,11,44,0,2007,1,"N","Buffalo-Niagara Falls, NY MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",130,0,0,0,0,0,0,0
