"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1674",0,10,40,0,2007,1,"","Charlotte-Gastonia-Concord, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",49206,822522,828186,837518,11190897972,6023492329,115212683,1038
"C1674",0,"10",40,0,2007,2,"","Charlotte-Gastonia-Concord, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",49559,839683,846809,841225,9184892134,3099850632,59508939,839
"C1674",0,"10",40,0,2007,3,"","Charlotte-Gastonia-Concord, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",49935,823312,845402,850310,9091648180,1769178248,33203640,833
"C1674",0,"10",40,0,2007,4,"","Charlotte-Gastonia-Concord, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",50741,857162,859690,861292,10121405454,1353657632,25495578,906
"C1674",1,10,41,0,2007,1,"","Charlotte-Gastonia-Concord, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",164,6862,6705,6653,97018660,0,0,1107
"C1674",1,"10",41,0,2007,2,"","Charlotte-Gastonia-Concord, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",164,6668,6695,6685,107306250,0,0,1235
"C1674",1,"10",41,0,2007,3,"","Charlotte-Gastonia-Concord, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",164,6730,6781,6796,95797991,0,0,1089
"C1674",1,"10",41,0,2007,4,"","Charlotte-Gastonia-Concord, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",164,6847,6935,6917,112531054,0,0,1255
"C1674",2,10,41,0,2007,1,"","Charlotte-Gastonia-Concord, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",126,12915,13231,13308,121201160,32815,206,709
"C1674",2,"10",41,0,2007,2,"","Charlotte-Gastonia-Concord, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",127,13174,13219,12641,123885502,31301,234,732
"C1674",2,"10",41,0,2007,3,"","Charlotte-Gastonia-Concord, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",130,12766,12855,13310,124733896,32785,166,739
"C1674",2,"10",41,0,2007,4,"","Charlotte-Gastonia-Concord, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",131,13523,13635,13620,131899872,25845,57,746
"C1674",3,10,41,0,2007,1,"","Charlotte-Gastonia-Concord, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",704,87054,88426,88444,947910707,1585934,22212,829
"C1674",3,"10",41,0,2007,2,"","Charlotte-Gastonia-Concord, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",705,87858,88413,79583,854619193,459652,6310,771
"C1674",3,"10",41,0,2007,3,"","Charlotte-Gastonia-Concord, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",721,63996,83368,89547,844012697,308055,6147,822
"C1674",3,"10",41,0,2007,4,"","Charlotte-Gastonia-Concord, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",756,90410,91683,91932,989670798,456303,9910,833
"C1674",5,10,41,0,2007,1,"","Charlotte-Gastonia-Concord, NC-SC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",48212,715691,719824,729113,10024767445,6021873580,115190265,1069
"C1674",5,"10",41,0,2007,2,"","Charlotte-Gastonia-Concord, NC-SC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",48563,731983,738482,742316,8099081189,3099359679,59502395,845
