"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2050",0,10,40,0,2007,1,"","Durham, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12506,266471,268968,271433,3678126918,1709411906,33317687,1052
"C2050",0,"10",40,0,2007,2,"","Durham, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12478,271231,272567,274311,3397251105,740799069,13605985,958
"C2050",0,"10",40,0,2007,3,"","Durham, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12644,270094,275216,277507,3499102954,435337897,7589169,981
"C2050",0,"10",40,0,2007,4,"","Durham, NC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12791,273899,276599,277557,3735565786,340813264,6021683,1041
"C2050",1,10,41,0,2007,1,"","Durham, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",80,5425,5412,5423,109568101,0,0,1555
"C2050",1,"10",41,0,2007,2,"","Durham, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",78,5451,5446,5555,99852484,0,0,1401
"C2050",1,"10",41,0,2007,3,"","Durham, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",83,5568,5620,5623,109687404,0,0,1506
"C2050",1,"10",41,0,2007,4,"","Durham, NC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",83,5599,5649,5659,101041011,0,0,1379
"C2050",2,10,41,0,2007,1,"N","Durham, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",90,0,0,0,0,0,0,0
"C2050",2,"10",41,0,2007,2,"N","Durham, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",92,0,0,0,0,0,0,0
"C2050",2,"10",41,0,2007,3,"N","Durham, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",95,0,0,0,0,0,0,0
"C2050",2,"10",41,0,2007,4,"N","Durham, NC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",96,0,0,0,0,0,0,0
"C2050",3,10,41,0,2007,1,"N","Durham, NC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",108,0,0,0,0,0,0,0
