"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2302",0,10,40,0,2007,1,"","Fort Walton Beach-Crestview-Destin, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6155,80995,81521,82960,703713660,325587322,3520192,662
"C2302",0,"10",40,0,2007,2,"","Fort Walton Beach-Crestview-Destin, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6139,83063,83756,82181,737792125,110598684,1116545,684
"C2302",0,"10",40,0,2007,3,"","Fort Walton Beach-Crestview-Destin, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6099,81355,83086,81635,722544124,69875665,732518,678
"C2302",0,"10",40,0,2007,4,"","Fort Walton Beach-Crestview-Destin, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6122,79963,80004,79907,745625897,52022509,562553,717
"C2302",1,10,41,0,2007,1,"","Fort Walton Beach-Crestview-Destin, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",38,6779,6743,6735,86083245,0,0,981
"C2302",1,"10",41,0,2007,2,"","Fort Walton Beach-Crestview-Destin, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",38,6695,6714,6763,97855921,0,0,1119
"C2302",1,"10",41,0,2007,3,"","Fort Walton Beach-Crestview-Destin, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",39,6786,6750,6679,97008544,0,0,1107
"C2302",1,"10",41,0,2007,4,"","Fort Walton Beach-Crestview-Destin, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",39,6773,6789,6785,98601881,0,0,1118
"C2302",2,10,41,0,2007,1,"","Fort Walton Beach-Crestview-Destin, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",39,1101,1107,1120,10504575,0,0,728
"C2302",2,"10",41,0,2007,2,"","Fort Walton Beach-Crestview-Destin, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,1109,1134,1096,9352758,0,0,646
