"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2506",0,10,40,0,2007,1,"","Gulfport-Biloxi, MS MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5443,100784,101698,102471,887924502,415863748,5028152,672
"C2506",0,"10",40,0,2007,2,"","Gulfport-Biloxi, MS MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5531,102412,103865,104579,897127005,135515612,1725210,666
"C2506",0,"10",40,0,2007,3,"","Gulfport-Biloxi, MS MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5609,103705,105360,105403,895777317,102891450,1292968,657
"C2506",0,"10",40,0,2007,4,"","Gulfport-Biloxi, MS MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5662,105001,105730,105346,951392089,81996157,1104230,695
"C2506",1,10,41,0,2007,1,"","Gulfport-Biloxi, MS MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",90,8357,8344,8332,111811241,0,0,1031
"C2506",1,"10",41,0,2007,2,"","Gulfport-Biloxi, MS MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",90,8328,8363,8462,126209341,0,0,1158
"C2506",1,"10",41,0,2007,3,"","Gulfport-Biloxi, MS MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",89,8489,8435,8393,126314103,0,0,1151
"C2506",1,"10",41,0,2007,4,"","Gulfport-Biloxi, MS MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",89,8405,8465,8455,123832522,0,0,1128
"C2506",2,10,41,0,2007,1,"","Gulfport-Biloxi, MS MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",49,1849,1850,1863,15803970,0,0,656
"C2506",2,"10",41,0,2007,2,"","Gulfport-Biloxi, MS MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",49,1885,1862,1875,14799250,0,0,607
"C2506",2,"10",41,0,2007,3,"","Gulfport-Biloxi, MS MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",49,1890,1863,1909,15434164,0,0,629
