"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2934",0,10,40,0,2007,1,"","Lake Charles, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4966,88173,88879,89582,824945906,368186802,4760564,714
"C2934",0,"10",40,0,2007,2,"","Lake Charles, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4992,89845,90467,91335,812931475,109925106,1518709,691
"C2934",0,"10",40,0,2007,3,"","Lake Charles, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5013,88871,89538,88846,813937298,75282805,1109157,703
"C2934",0,"10",40,0,2007,4,"","Lake Charles, LA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",5013,89550,89832,89781,901854423,67810965,1016217,773
"C2934",1,10,41,0,2007,1,"","Lake Charles, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",43,654,646,635,8854357,0,0,1056
"C2934",1,"10",41,0,2007,2,"","Lake Charles, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,636,633,629,9487525,0,0,1154
"C2934",1,"10",41,0,2007,3,"","Lake Charles, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,633,630,627,8972591,0,0,1096
"C2934",1,"10",41,0,2007,4,"","Lake Charles, LA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,619,622,610,9720051,0,0,1212
"C2934",2,10,41,0,2007,1,"","Lake Charles, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",57,3069,3115,3133,30159773,166489,3134,747
"C2934",2,"10",41,0,2007,2,"","Lake Charles, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,3326,3366,3364,28677616,13993,252,658
"C2934",2,"10",41,0,2007,3,"","Lake Charles, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,3064,3113,3283,33302926,12786,229,812
"C2934",2,"10",41,0,2007,4,"","Lake Charles, LA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,3311,3347,3512,31119780,14706,265,706
"C2934",3,10,41,0,2007,1,"","Lake Charles, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",109,10176,10236,10226,82259240,1150057,7997,620
"C2934",3,"10",41,0,2007,2,"","Lake Charles, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",109,10260,10221,10593,87143086,493256,3724,647
"C2934",3,"10",41,0,2007,3,"","Lake Charles, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",109,10185,10436,10330,84891410,324481,2587,633
"C2934",3,"10",41,0,2007,4,"","Lake Charles, LA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",108,10372,10391,10445,93589094,258707,2325,692
"C2934",5,10,41,0,2007,1,"","Lake Charles, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4757,74274,74882,75588,703672536,366870256,4749433,723
"C2934",5,"10",41,0,2007,2,"","Lake Charles, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4783,75623,76247,76749,687623248,109417857,1514733,694
"C2934",5,"10",41,0,2007,3,"","Lake Charles, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4804,74989,75359,74606,686770371,74945538,1106341,705
"C2934",5,"10",41,0,2007,4,"","Lake Charles, LA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4805,75248,75472,75214,767425498,67537552,1013627,784
"C2934",5,101,42,0,2007,1,"","Lake Charles, LA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",786,20570,21262,21694,309412796,137098164,2135209,1124
"C2934",5,"101",42,0,2007,2,"","Lake Charles, LA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",786,21950,22113,22108,293655472,24040541,502500,1024
"C2934",5,"101",42,0,2007,3,"","Lake Charles, LA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",791,21393,21641,21247,288818594,19667020,430305,1037
