"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3170",0,10,40,0,2007,1,"","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12262,195526,194888,195283,2342016920,960036481,12224364,923
"C3170",0,"10",40,0,2007,2,"","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12365,196391,198721,198980,2372821890,226445333,2707082,922
"C3170",0,"10",40,0,2007,3,"","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12445,194361,195198,198087,2288983232,154814368,1821275,899
"C3170",0,"10",40,0,2007,4,"","Manchester-Nashua, NH MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",12409,198083,199682,201502,2706567279,137244227,1663736,1042
"C3170",1,10,41,0,2007,1,"","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",76,4080,3899,3899,75044710,0,0,1458
"C3170",1,"10",41,0,2007,2,"","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",76,3863,3863,3864,79322965,0,0,1579
"C3170",1,"10",41,0,2007,3,"","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",76,3867,3876,3872,78741656,0,0,1564
"C3170",1,"10",41,0,2007,4,"","Manchester-Nashua, NH MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",76,3878,3857,4096,79746365,0,0,1555
"C3170",2,10,41,0,2007,1,"","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",105,1752,1821,1845,16601999,0,0,707
"C3170",2,"10",41,0,2007,2,"","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",106,1860,2016,1710,15169584,0,0,627
"C3170",2,"10",41,0,2007,3,"","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",109,1722,1806,1852,16683154,0,0,716
"C3170",2,"10",41,0,2007,4,"","Manchester-Nashua, NH MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",109,1845,2054,2051,16070982,0,0,623
"C3170",3,10,41,0,2007,1,"","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",106,16461,16566,16549,162306855,69289,103,756
"C3170",3,"10",41,0,2007,2,"","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",107,16697,16691,15383,173880377,11449,47,823
"C3170",3,"10",41,0,2007,3,"","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",108,11131,11451,16245,132692687,6934,41,789
"C3170",3,"10",41,0,2007,4,"","Manchester-Nashua, NH MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",110,16533,16658,16725,162942242,20929,218,753
"C3170",5,10,41,0,2007,1,"","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",11975,173233,172602,172990,2088063356,959967192,12224261,929
"C3170",5,"10",41,0,2007,2,"","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12076,173971,176151,178023,2104448964,226433884,2707035,920
"C3170",5,"10",41,0,2007,3,"","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12152,177641,178065,176118,2060865735,154807434,1821234,894
"C3170",5,"10",41,0,2007,4,"","Manchester-Nashua, NH MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12114,175827,177113,178630,2447807690,137223298,1663518,1063
"C3170",5,101,42,0,2007,1,"","Manchester-Nashua, NH MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1983,38426,37918,37957,607416662,287260694,4475744,1226
"C3170",5,"101",42,0,2007,2,"","Manchester-Nashua, NH MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1992,38203,38756,39128,609812870,38362777,685771,1212
