"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3914",0,10,40,0,2007,1,"","Prescott, AZ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6284,63103,63865,64513,492995269,257931191,3508090,594
"C3914",0,"10",40,0,2007,2,"","Prescott, AZ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6367,64640,64670,63928,513473705,88778199,1196597,613
"C3914",0,"10",40,0,2007,3,"","Prescott, AZ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6356,61484,63744,64148,500033185,58116036,809303,609
"C3914",0,"10",40,0,2007,4,"","Prescott, AZ MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",6407,64527,64424,63875,541687332,48788106,680692,648
"C3914",1,10,41,0,2007,1,"","Prescott, AZ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,1178,1146,1154,15027683,0,0,997
"C3914",1,"10",41,0,2007,2,"","Prescott, AZ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,1163,1189,1218,17762713,0,0,1148
"C3914",1,"10",41,0,2007,3,"","Prescott, AZ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,1224,1249,1241,16963498,0,0,1054
"C3914",1,"10",41,0,2007,4,"","Prescott, AZ MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",51,1232,1231,1185,19626212,0,0,1242
"C3914",2,10,41,0,2007,1,"","Prescott, AZ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,631,631,627,6249022,0,0,763
"C3914",2,"10",41,0,2007,2,"","Prescott, AZ MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,638,642,639,5587365,0,0,672
