"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4202",0,10,40,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8900,103812,104836,105365,931044227,370127149,14425079,684
"C4202",0,"10",40,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",9031,107554,108047,109565,988727791,136047406,5287928,702
"C4202",0,"10",40,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",9106,105226,104940,107209,946197341,89801815,3480491,688
"C4202",0,"10",40,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",9357,108353,107451,104743,1044087499,71645803,2791382,752
"C4202",1,10,41,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,641,641,646,7522786,0,0,900
"C4202",1,"10",41,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,642,661,657,8162277,0,0,961
"C4202",1,"10",41,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,668,663,663,8381637,0,0,970
"C4202",1,"10",41,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,667,654,642,8876258,0,0,1043
"C4202",2,10,41,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",307,8108,8218,8229,103482512,0,0,973
"C4202",2,"10",41,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",311,8330,8272,8403,110589176,0,0,1021
"C4202",2,"10",41,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",306,8536,8791,8865,110682999,0,0,975
"C4202",2,"10",41,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",306,8649,8497,8192,116615617,0,0,1062
"C4202",3,10,41,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",165,11508,11428,11682,149540470,978226,30262,997
"C4202",3,"10",41,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",166,11758,11800,11739,127054944,198803,6068,831
"C4202",3,"10",41,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",166,9464,9031,10897,111477816,134349,4222,875
"C4202",3,"10",41,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",166,11411,11628,10191,122547079,92359,2940,851
"C4202",5,10,41,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8387,83555,84549,84808,670498459,369148923,14394817,612
"C4202",5,"10",41,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8513,86824,87314,88766,742921394,135848603,5281860,652
"C4202",5,"10",41,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8593,86558,86455,86784,715654889,89667466,3476269,636
"C4202",5,"10",41,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8844,87626,86672,85718,796048545,71553444,2788442,707
"C4202",5,101,42,0,2007,1,"","San Luis Obispo-Paso Robles, CA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1833,17497,17678,17457,158050513,92988118,4172245,693
"C4202",5,"101",42,0,2007,2,"","San Luis Obispo-Paso Robles, CA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1851,17888,18222,19299,165941174,30854027,1387496,691
"C4202",5,"101",42,0,2007,3,"","San Luis Obispo-Paso Robles, CA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1873,18522,18231,19008,169847638,21722356,1007993,703
"C4202",5,"101",42,0,2007,4,"","San Luis Obispo-Paso Robles, CA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",1885,18897,17737,17174,186977307,17441566,790719,802
