"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4694",0,10,40,0,2007,1,"","Vero Beach, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4758,51356,51404,51868,430949572,214015200,3540422,643
"C4694",0,"10",40,0,2007,2,"","Vero Beach, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4729,51446,50412,47717,428572486,65898882,937438,661
"C4694",0,"10",40,0,2007,3,"","Vero Beach, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4740,46082,47220,46871,391793494,36332354,474911,645
"C4694",0,"10",40,0,2007,4,"","Vero Beach, FL MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",4744,48225,50125,51422,526217084,37058980,602435,811
"C4694",1,10,41,0,2007,1,"","Vero Beach, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,390,386,388,5306488,0,0,1052
"C4694",1,"10",41,0,2007,2,"","Vero Beach, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,388,394,401,5608109,0,0,1094
"C4694",1,"10",41,0,2007,3,"","Vero Beach, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",18,404,400,407,5003880,0,0,954
"C4694",1,"10",41,0,2007,4,"","Vero Beach, FL MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",18,415,420,418,6343390,0,0,1168
"C4694",2,10,41,0,2007,1,"","Vero Beach, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,618,612,619,5537145,0,0,691
"C4694",2,"10",41,0,2007,2,"","Vero Beach, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,604,605,604,4985472,0,0,635
"C4694",2,"10",41,0,2007,3,"","Vero Beach, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,563,576,583,5459177,0,0,732
"C4694",2,"10",41,0,2007,4,"","Vero Beach, FL MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",29,523,535,531,4971002,0,0,722
"C4694",3,10,41,0,2007,1,"","Vero Beach, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,5215,5228,5246,48801509,0,0,718
"C4694",3,"10",41,0,2007,2,"","Vero Beach, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,5272,5308,3732,58642404,0,0,946
"C4694",3,"10",41,0,2007,3,"","Vero Beach, FL MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,3766,5251,5239,44025433,0,0,713
