"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4758",0,10,40,0,2007,1,"","Warner Robins, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2441,55903,56182,56445,531564074,177041356,2312570,728
"C4758",0,"10",40,0,2007,2,"","Warner Robins, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2472,56486,56882,57029,552602883,66577498,866118,748
"C4758",0,"10",40,0,2007,3,"","Warner Robins, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2486,55930,56441,56632,558172877,42095734,552534,762
"C4758",0,"10",40,0,2007,4,"","Warner Robins, GA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2518,56640,56466,56474,571993179,34794770,471567,778
"C4758",1,10,41,0,2007,1,"","Warner Robins, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,13748,13791,13813,196318503,0,0,1096
"C4758",1,"10",41,0,2007,2,"","Warner Robins, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,13801,13863,14000,225271429,0,0,1248
"C4758",1,"10",41,0,2007,3,"","Warner Robins, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,14015,14064,14091,225509122,0,0,1234
"C4758",1,"10",41,0,2007,4,"","Warner Robins, GA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,14119,14070,14187,228390015,0,0,1244
"C4758",2,10,41,0,2007,1,"","Warner Robins, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,854,913,880,6907004,0,0,602
"C4758",2,"10",41,0,2007,2,"","Warner Robins, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,915,867,905,7058467,0,0,606
"C4758",2,"10",41,0,2007,3,"","Warner Robins, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,864,896,926,6848625,1382,0,588
"C4758",2,"10",41,0,2007,4,"","Warner Robins, GA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,1058,924,875,7217996,1396,37,583
"C4758",3,10,41,0,2007,1,"","Warner Robins, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,7481,7503,7509,67139716,5815,20,689
"C4758",3,"10",41,0,2007,2,"","Warner Robins, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,7518,7536,7623,63512240,2047,7,646
"C4758",3,"10",41,0,2007,3,"","Warner Robins, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,7044,7352,7646,70084260,2754,10,734
"C4758",3,"10",41,0,2007,4,"","Warner Robins, GA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",75,7708,7710,7744,66687757,319,1,664
"C4758",5,10,41,0,2007,1,"","Warner Robins, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2299,33820,33975,34243,261198851,177035541,2312550,591
"C4758",5,"10",41,0,2007,2,"","Warner Robins, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2330,34252,34616,34501,256760747,66575451,866111,573
"C4758",5,"10",41,0,2007,3,"","Warner Robins, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2343,34007,34129,33969,255730870,42091598,552524,578
"C4758",5,"10",41,0,2007,4,"","Warner Robins, GA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2375,33755,33762,33668,269697411,34793055,471529,615
"C4758",5,101,42,0,2007,1,"","Warner Robins, GA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",363,7470,7492,7545,74153427,50653638,762139,760
"C4758",5,"101",42,0,2007,2,"","Warner Robins, GA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",366,7439,7621,7741,70415281,16053152,260023,713
"C4758",5,"101",42,0,2007,3,"","Warner Robins, GA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",365,7684,7662,7515,68450824,8156566,128547,691
"C4758",5,"101",42,0,2007,4,"","Warner Robins, GA MSA","Private","Goods-Producing","MSA, by Domain -- by ownership sector","All establishment sizes",359,7372,7255,7056,69136594,6142821,104049,736
"C4758",5,1011,43,0,2007,1,"","Warner Robins, GA MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",18,73,67,70,731893,478084,2802,804
"C4758",5,"1011",43,0,2007,2,"","Warner Robins, GA MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",18,80,84,84,548350,168062,1435,510
"C4758",5,"1011",43,0,2007,3,"","Warner Robins, GA MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",18,90,85,84,594012,167110,1057,529
"C4758",5,"1011",43,0,2007,4,"","Warner Robins, GA MSA","Private","Natural Resources and Mining","MSA, by Supersector -- by ownership sector","All establishment sizes",18,103,111,109,839050,226726,3049,599
"C4758",5,1012,43,0,2007,1,"","Warner Robins, GA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",271,1907,1854,1889,15787889,12269984,256012,645
"C4758",5,"1012",43,0,2007,2,"","Warner Robins, GA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",272,1897,1920,1933,16013634,4836068,100733,643
"C4758",5,"1012",43,0,2007,3,"","Warner Robins, GA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",273,1846,1920,1887,15301998,2865952,58091,625
"C4758",5,"1012",43,0,2007,4,"","Warner Robins, GA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",269,1842,1766,1658,17131780,2887821,58742,751
"C4758",5,1013,43,0,2007,1,"","Warner Robins, GA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",74,5490,5571,5586,57633645,37905570,503325,799
"C4758",5,"1013",43,0,2007,2,"","Warner Robins, GA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",76,5462,5617,5724,53853297,11049022,157855,740
"C4758",5,"1013",43,0,2007,3,"","Warner Robins, GA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",74,5748,5657,5544,52554814,5123504,69399,716
"C4758",5,"1013",43,0,2007,4,"","Warner Robins, GA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",72,5427,5378,5289,51165764,3028274,42258,734
"C4758",5,102,42,0,2007,1,"","Warner Robins, GA MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",1936,26350,26483,26698,187045424,126381903,1550411,543
"C4758",5,"102",42,0,2007,2,"","Warner Robins, GA MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",1964,26813,26995,26760,186345466,50522299,606088,534
"C4758",5,"102",42,0,2007,3,"","Warner Robins, GA MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",1978,26323,26467,26454,187280046,33935032,423977,545
"C4758",5,"102",42,0,2007,4,"","Warner Robins, GA MSA","Private","Service-Providing","MSA, by Domain -- by ownership sector","All establishment sizes",2016,26383,26507,26612,200560817,28650234,367480,582
"C4758",5,1021,43,0,2007,1,"","Warner Robins, GA MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",528,7403,7419,7447,46601575,34195686,403199,483
"C4758",5,"1021",43,0,2007,2,"","Warner Robins, GA MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",530,7494,7533,7448,46978184,15035293,181764,482
"C4758",5,"1021",43,0,2007,3,"","Warner Robins, GA MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",529,7486,7503,7686,46904006,8995679,106729,477
"C4758",5,"1021",43,0,2007,4,"","Warner Robins, GA MSA","Private","Trade, Transportation, and Utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",538,7609,7867,7890,50036543,7628949,93861,494
"C4758",5,1022,43,0,2007,1,"","Warner Robins, GA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",29,355,352,347,3202184,1903008,23885,701
"C4758",5,"1022",43,0,2007,2,"","Warner Robins, GA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",29,365,369,360,3266984,457572,6585,689
"C4758",5,"1022",43,0,2007,3,"","Warner Robins, GA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",29,335,334,334,2994228,245420,3045,689
"C4758",5,"1022",43,0,2007,4,"","Warner Robins, GA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",31,313,340,373,2861061,208514,3617,644
"C4758",5,1023,43,0,2007,1,"","Warner Robins, GA MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",263,1589,1612,1605,14245827,9268674,82550,684
"C4758",5,"1023",43,0,2007,2,"","Warner Robins, GA MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",264,1562,1561,1534,12332314,2391243,22366,611
"C4758",5,"1023",43,0,2007,3,"","Warner Robins, GA MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",271,1631,1627,1632,13187489,1704638,21738,622
"C4758",5,"1023",43,0,2007,4,"","Warner Robins, GA MSA","Private","Financial Activities","MSA, by Supersector -- by ownership sector","All establishment sizes",276,1594,1608,1618,13443540,1452797,18723,644
"C4758",5,1024,43,0,2007,1,"","Warner Robins, GA MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",374,6209,6146,6175,69292426,41623465,620378,863
"C4758",5,"1024",43,0,2007,2,"","Warner Robins, GA MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",384,6220,6180,6035,66013450,9590751,150506,826
"C4758",5,"1024",43,0,2007,3,"","Warner Robins, GA MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",387,5674,5766,5712,67571068,7043053,108443,909
"C4758",5,"1024",43,0,2007,4,"","Warner Robins, GA MSA","Private","Professional and Business Services","MSA, by Supersector -- by ownership sector","All establishment sizes",394,5831,5856,5923,66640771,6332681,99922,873
"C4758",5,1025,43,0,2007,1,"","Warner Robins, GA MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",260,4047,4091,4150,30157233,19066949,215501,566
"C4758",5,"1025",43,0,2007,2,"","Warner Robins, GA MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",263,4223,4261,4270,33287344,9068693,102569,602
"C4758",5,"1025",43,0,2007,3,"","Warner Robins, GA MSA","Private","Education and Health Services","MSA, by Supersector -- by ownership sector","All establishment sizes",269,4280,4338,4264,32601392,5403624,70682,584
