"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"01021",0,"10",70,0,2013,1,"","Chilton County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",728,8839,8921,9025,68020047,39624871,1369046,586
"01021",0,"10",70,0,2013,2,"","Chilton County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",727,9414,9328,9383,73318130,13853250,452408,602
"01021",0,"10",70,0,2013,3,"","Chilton County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",731,9167,9267,9242,73165881,7728566,244055,610
"01021",1,"10",71,0,2013,1,"","Chilton County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,66,66,65,771265,0,0,903
"01021",1,"10",71,0,2013,2,"","Chilton County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,66,66,66,642076,0,0,748
"01021",1,"10",71,0,2013,3,"","Chilton County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,65,65,65,772145,0,0,914
"01021",1,"102",72,0,2013,1,"","Chilton County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,66,66,65,771265,0,0,903
"01021",1,"102",72,0,2013,2,"","Chilton County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,66,66,66,642076,0,0,748
"01021",1,"102",72,0,2013,3,"","Chilton County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,65,65,65,772145,0,0,914
"01021",1,"1021",73,0,2013,1,"","Chilton County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"1021",73,0,2013,2,"","Chilton County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"1021",73,0,2013,3,"","Chilton County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"1028",73,0,2013,1,"","Chilton County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"1028",73,0,2013,2,"","Chilton County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"1028",73,0,2013,3,"","Chilton County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"48-49",74,0,2013,1,"","Chilton County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"48-49",74,0,2013,2,"","Chilton County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"48-49",74,0,2013,3,"","Chilton County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"491",75,0,2013,1,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"491",75,0,2013,2,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"491",75,0,2013,3,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"4911",76,0,2013,1,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"4911",76,0,2013,2,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"4911",76,0,2013,3,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"49111",77,0,2013,1,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"49111",77,0,2013,2,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"49111",77,0,2013,3,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"491110",78,0,2013,1,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,65,65,64,754100,0,0,897
"01021",1,"491110",78,0,2013,2,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,65,65,65,622050,0,0,736
"01021",1,"491110",78,0,2013,3,"","Chilton County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,64,64,64,752119,0,0,904
"01021",1,"92",74,0,2013,1,"","Chilton County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"92",74,0,2013,2,"","Chilton County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"92",74,0,2013,3,"","Chilton County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"924",75,0,2013,1,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"924",75,0,2013,2,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"924",75,0,2013,3,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"9241",76,0,2013,1,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"9241",76,0,2013,2,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"9241",76,0,2013,3,"","Chilton County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"92412",77,0,2013,1,"","Chilton County, Alabama","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"92412",77,0,2013,2,"","Chilton County, Alabama","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"92412",77,0,2013,3,"","Chilton County, Alabama","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
"01021",1,"924120",78,0,2013,1,"","Chilton County, Alabama","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17165,0,0,1320
"01021",1,"924120",78,0,2013,2,"","Chilton County, Alabama","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20026,0,0,1540
