"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"04001",0,"10",70,0,2013,1,"","Apache County, Arizona","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",608,18113,18129,18112,172773031,40895982,1257310,734
"04001",0,"10",70,0,2013,2,"","Apache County, Arizona","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",629,18372,18552,17711,185483732,12259586,396238,783
"04001",0,"10",70,0,2013,3,"","Apache County, Arizona","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",618,17098,18405,18194,168052281,7692542,244802,722
"04001",1,"10",71,0,2013,1,"","Apache County, Arizona","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2696,2732,2736,31541826,0,0,892
"04001",1,"10",71,0,2013,2,"","Apache County, Arizona","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2736,2752,2763,35296875,0,0,987
"04001",1,"10",71,0,2013,3,"","Apache County, Arizona","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,2565,2754,2742,37095480,0,0,1062
"04001",1,"102",72,0,2013,1,"","Apache County, Arizona","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2696,2732,2736,31541826,0,0,892
"04001",1,"102",72,0,2013,2,"","Apache County, Arizona","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2736,2752,2763,35296875,0,0,987
"04001",1,"102",72,0,2013,3,"","Apache County, Arizona","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",56,2565,2754,2742,37095480,0,0,1062
"04001",1,"1021",73,0,2013,1,"","Apache County, Arizona","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"1021",73,0,2013,2,"","Apache County, Arizona","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"1021",73,0,2013,3,"","Apache County, Arizona","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"1023",73,0,2013,1,"","Apache County, Arizona","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,26966,0,0,1037
"04001",1,"1023",73,0,2013,2,"","Apache County, Arizona","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,31461,0,0,1210
"04001",1,"1023",73,0,2013,3,"","Apache County, Arizona","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,31061,0,0,1195
"04001",1,"1026",73,0,2013,1,"","Apache County, Arizona","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,42,42,43,449182,0,0,816
"04001",1,"1026",73,0,2013,2,"","Apache County, Arizona","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,47,53,56,578472,0,0,856
"04001",1,"1026",73,0,2013,3,"","Apache County, Arizona","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,58,58,58,584843,0,0,776
"04001",1,"1027",73,0,2013,1,"","Apache County, Arizona","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",4,824,840,835,8445218,0,0,780
"04001",1,"1027",73,0,2013,2,"","Apache County, Arizona","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",4,824,840,835,8445218,0,0,780
"04001",1,"1027",73,0,2013,3,"","Apache County, Arizona","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",4,824,840,835,8445218,0,0,780
"04001",1,"1028",73,0,2013,1,"","Apache County, Arizona","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",36,1781,1799,1808,22073137,0,0,945
"04001",1,"1028",73,0,2013,2,"","Apache County, Arizona","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",36,1816,1812,1825,25770784,0,0,1091
"04001",1,"1028",73,0,2013,3,"","Apache County, Arizona","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",31,1635,1805,1798,27499057,0,0,1212
"04001",1,"48-49",74,0,2013,1,"","Apache County, Arizona","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"48-49",74,0,2013,2,"","Apache County, Arizona","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"48-49",74,0,2013,3,"","Apache County, Arizona","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"491",75,0,2013,1,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"491",75,0,2013,2,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"491",75,0,2013,3,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"4911",76,0,2013,1,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"4911",76,0,2013,2,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"4911",76,0,2013,3,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"49111",77,0,2013,1,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"49111",77,0,2013,2,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"49111",77,0,2013,3,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"491110",78,0,2013,1,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,47,49,48,547323,0,0,877
"04001",1,"491110",78,0,2013,2,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,47,45,45,470940,0,0,793
"04001",1,"491110",78,0,2013,3,"","Apache County, Arizona","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,46,49,49,535301,0,0,858
"04001",1,"52",74,0,2013,1,"","Apache County, Arizona","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,26966,0,0,1037
"04001",1,"52",74,0,2013,2,"","Apache County, Arizona","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,31461,0,0,1210
"04001",1,"52",74,0,2013,3,"","Apache County, Arizona","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,31061,0,0,1195
