"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"05045",0,"10",70,0,2013,1,"","Faulkner County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2782,40015,40377,40916,362788740,209802173,6969336,690
"05045",0,"10",70,0,2013,2,"","Faulkner County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2817,41124,41095,40498,395025616,87793299,3061822,743
"05045",0,"10",70,0,2013,3,"","Faulkner County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2818,39027,38824,40636,361594533,48688519,1625234,704
"05045",1,"10",71,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,206,206,200,2729046,0,0,1029
"05045",1,"10",71,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,204,202,205,2504136,0,0,946
"05045",1,"10",71,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,201,205,199,2640795,0,0,1007
"05045",1,"102",72,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,206,206,200,2729046,0,0,1029
"05045",1,"102",72,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,204,202,205,2504136,0,0,946
"05045",1,"102",72,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,201,205,199,2640795,0,0,1007
"05045",1,"1021",73,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"1021",73,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"1021",73,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"1024",73,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,14,15,189062,0,0,1039
"05045",1,"1024",73,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,17,229483,0,0,1127
"05045",1,"1024",73,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,17,18,16,217119,0,0,982
"05045",1,"1028",73,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,51,51,49,652003,0,0,996
"05045",1,"1028",73,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,50,47,49,728995,0,0,1152
"05045",1,"1028",73,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,47,48,48,626130,0,0,1010
"05045",1,"48-49",74,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"48-49",74,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"48-49",74,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"491",75,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"491",75,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"491",75,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"4911",76,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"4911",76,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"4911",76,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"49111",77,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"49111",77,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"49111",77,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"491110",78,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,142,141,136,1887981,0,0,1040
"05045",1,"491110",78,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,139,140,139,1545658,0,0,853
"05045",1,"491110",78,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,137,139,135,1797546,0,0,1009
"05045",1,"54",74,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,14,15,189062,0,0,1039
"05045",1,"54",74,0,2013,2,"","Faulkner County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,15,17,229483,0,0,1127
"05045",1,"54",74,0,2013,3,"","Faulkner County, Arkansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,18,16,217119,0,0,982
"05045",1,"541",75,0,2013,1,"","Faulkner County, Arkansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,14,15,189062,0,0,1039
