"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"08065",0,"10",70,0,2013,1,"","Lake County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",218,2115,2138,2109,19026936,9468354,216854,690
"08065",0,"10",70,0,2013,2,"","Lake County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",224,2125,1956,2071,16552023,4297624,86768,621
"08065",0,"10",70,0,2013,3,"","Lake County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",229,2097,2067,2076,18108921,4194512,83249,670
"08065",1,"10",71,0,2013,1,"","Lake County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,51,51,51,808201,0,0,1219
"08065",1,"10",71,0,2013,2,"","Lake County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,51,57,57,1044654,0,0,1461
"08065",1,"10",71,0,2013,3,"","Lake County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,61,61,61,1007778,0,0,1271
"08065",1,"102",72,0,2013,1,"","Lake County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,51,51,51,808201,0,0,1219
"08065",1,"102",72,0,2013,2,"","Lake County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,51,57,57,1044654,0,0,1461
"08065",1,"102",72,0,2013,3,"","Lake County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,61,61,61,1007778,0,0,1271
"08065",1,"1021",73,0,2013,1,"","Lake County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"1021",73,0,2013,2,"","Lake County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"1021",73,0,2013,3,"","Lake County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"1028",73,0,2013,1,"","Lake County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,44,43,43,695729,0,0,1235
"08065",1,"1028",73,0,2013,2,"","Lake County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,44,48,48,942481,0,0,1554
"08065",1,"1028",73,0,2013,3,"","Lake County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,52,51,52,890463,0,0,1326
"08065",1,"48-49",74,0,2013,1,"","Lake County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"48-49",74,0,2013,2,"","Lake County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"48-49",74,0,2013,3,"","Lake County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"491",75,0,2013,1,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"491",75,0,2013,2,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"491",75,0,2013,3,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"4911",76,0,2013,1,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"4911",76,0,2013,2,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"4911",76,0,2013,3,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"49111",77,0,2013,1,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"49111",77,0,2013,2,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"49111",77,0,2013,3,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"491110",78,0,2013,1,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,8,8,112472,0,0,1128
"08065",1,"491110",78,0,2013,2,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,9,9,102173,0,0,943
"08065",1,"491110",78,0,2013,3,"","Lake County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,10,9,117315,0,0,967
"08065",1,"92",74,0,2013,1,"","Lake County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,44,43,43,695729,0,0,1235
"08065",1,"92",74,0,2013,2,"","Lake County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,44,48,48,942481,0,0,1554
"08065",1,"92",74,0,2013,3,"","Lake County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,52,51,52,890463,0,0,1326
"08065",1,"924",75,0,2013,1,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,43,43,695729,0,0,1235
"08065",1,"924",75,0,2013,2,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,48,48,942481,0,0,1554
"08065",1,"924",75,0,2013,3,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,52,51,52,890463,0,0,1326
"08065",1,"9241",76,0,2013,1,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,44,43,43,695729,0,0,1235
"08065",1,"9241",76,0,2013,2,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,44,48,48,942481,0,0,1554
"08065",1,"9241",76,0,2013,3,"","Lake County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,52,51,52,890463,0,0,1326
"08065",1,"92412",77,0,2013,1,"","Lake County, Colorado","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,44,43,43,695729,0,0,1235
