"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"12031",0,"10",70,0,2013,1,"","Duval County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",27437,439234,443904,446740,5552192780,2229651420,86074437,963
"12031",0,"10",70,0,2013,2,"","Duval County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",27644,447939,448678,447765,5113272797,600715972,21192854,878
"12031",0,"10",70,0,2013,3,"","Duval County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",27768,439690,450402,451181,5027864205,383342799,13525715,865
"12031",1,"10",71,0,2013,1,"","Duval County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",109,15646,15649,15537,260059475,0,0,1281
"12031",1,"10",71,0,2013,2,"","Duval County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",108,15640,15380,15405,241089709,0,0,1198
"12031",1,"10",71,0,2013,3,"","Duval County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",106,15264,15178,15117,247843815,0,0,1255
"12031",1,"102",72,0,2013,1,"","Duval County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",109,15646,15649,15537,260059475,0,0,1281
"12031",1,"102",72,0,2013,2,"","Duval County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",108,15640,15380,15405,241089709,0,0,1198
"12031",1,"102",72,0,2013,3,"","Duval County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",106,15264,15178,15117,247843815,0,0,1255
"12031",1,"1021",73,0,2013,1,"","Duval County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",38,3637,3647,3552,54526311,0,0,1161
"12031",1,"1021",73,0,2013,2,"","Duval County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,3702,3472,3471,46420458,0,0,1006
"12031",1,"1021",73,0,2013,3,"","Duval County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",36,3608,3581,3572,51812325,0,0,1111
"12031",1,"1024",73,0,2013,1,"","Duval County, Florida","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,1402,1400,1402,29435619,0,0,1616
"12031",1,"1024",73,0,2013,2,"","Duval County, Florida","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,1407,1401,1409,29017907,0,0,1588
"12031",1,"1024",73,0,2013,3,"","Duval County, Florida","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,1402,1400,1393,27708348,0,0,1524
"12031",1,"1025",73,0,2013,1,"","Duval County, Florida","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,1024,1038,1053,18655692,0,0,1382
"12031",1,"1025",73,0,2013,2,"","Duval County, Florida","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,1046,1054,1058,15717630,0,0,1149
"12031",1,"1025",73,0,2013,3,"","Duval County, Florida","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,1056,1062,1082,17714069,0,0,1277
"12031",1,"1026",73,0,2013,1,"","Duval County, Florida","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",7,829,826,831,4523126,0,0,420
"12031",1,"1026",73,0,2013,2,"","Duval County, Florida","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",7,769,795,853,5115371,0,0,488
"12031",1,"1026",73,0,2013,3,"","Duval County, Florida","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",7,860,854,831,4565624,0,0,414
"12031",1,"1027",73,0,2013,1,"","Duval County, Florida","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,11,11,127947,0,0,923
"12031",1,"1027",73,0,2013,2,"","Duval County, Florida","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,11,111799,0,0,782
"12031",1,"1027",73,0,2013,3,"","Duval County, Florida","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,10,10,115001,0,0,915
"12031",1,"1028",73,0,2013,1,"","Duval County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",53,8744,8727,8688,152790780,0,0,1348
"12031",1,"1028",73,0,2013,2,"","Duval County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",53,8705,8647,8603,144706544,0,0,1287
"12031",1,"1028",73,0,2013,3,"","Duval County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",52,8329,8271,8229,145928448,0,0,1356
"12031",1,"44-45",74,0,2013,1,"","Duval County, Florida","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,801,784,782,5152127,0,0,502
"12031",1,"44-45",74,0,2013,2,"","Duval County, Florida","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,782,778,774,5651680,0,0,559
"12031",1,"44-45",74,0,2013,3,"","Duval County, Florida","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,778,771,763,4977717,0,0,497
"12031",1,"445",75,0,2013,1,"","Duval County, Florida","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,170,169,172,1612698,0,0,728
"12031",1,"445",75,0,2013,2,"","Duval County, Florida","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,171,168,166,1292645,0,0,591
"12031",1,"445",75,0,2013,3,"","Duval County, Florida","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,167,169,170,1427473,0,0,651
"12031",1,"4451",76,0,2013,1,"","Duval County, Florida","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,170,169,172,1612698,0,0,728
"12031",1,"4451",76,0,2013,2,"","Duval County, Florida","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,171,168,166,1292645,0,0,591
"12031",1,"4451",76,0,2013,3,"","Duval County, Florida","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,167,169,170,1427473,0,0,651
"12031",1,"44511",77,0,2013,1,"","Duval County, Florida","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,170,169,172,1612698,0,0,728
"12031",1,"44511",77,0,2013,2,"","Duval County, Florida","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,171,168,166,1292645,0,0,591
"12031",1,"44511",77,0,2013,3,"","Duval County, Florida","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,167,169,170,1427473,0,0,651
"12031",1,"445110",78,0,2013,1,"","Duval County, Florida","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,170,169,172,1612698,0,0,728
"12031",1,"445110",78,0,2013,2,"","Duval County, Florida","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,171,168,166,1292645,0,0,591
