"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"12053",0,"10",70,0,2013,1,"","Hernando County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3422,37204,37452,37633,291157862,157815327,5327889,598
"12053",0,"10",70,0,2013,2,"","Hernando County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3439,37936,37725,35639,310292634,62218855,1935537,643
"12053",0,"10",70,0,2013,3,"","Hernando County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3432,34964,37508,37589,279377182,34366798,1042645,586
"12053",1,"10",71,0,2013,1,"","Hernando County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,309,307,282,4666750,0,0,1199
"12053",1,"10",71,0,2013,2,"","Hernando County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,283,286,287,3750831,0,0,1011
"12053",1,"10",71,0,2013,3,"","Hernando County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,284,282,274,4178866,0,0,1148
"12053",1,"102",72,0,2013,1,"","Hernando County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,309,307,282,4666750,0,0,1199
"12053",1,"102",72,0,2013,2,"","Hernando County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,283,286,287,3750831,0,0,1011
"12053",1,"102",72,0,2013,3,"","Hernando County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,284,282,274,4178866,0,0,1148
"12053",1,"1021",73,0,2013,1,"","Hernando County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,219,217,212,3164040,0,0,1127
