"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13083",0,"10",70,0,2013,1,"","Dade County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",246,3109,3228,3259,25588340,15037921,418025,615
"13083",0,"10",70,0,2013,2,"","Dade County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",247,3228,3215,3203,24072108,5776057,136400,576
"13083",0,"10",70,0,2013,3,"","Dade County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",249,3110,3245,3228,24626126,2937627,58305,593
"13083",1,"10",71,0,2013,1,"","Dade County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,20,22,19,239486,0,0,906
"13083",1,"10",71,0,2013,2,"","Dade County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,20,18,19,195226,0,0,790
"13083",1,"10",71,0,2013,3,"","Dade County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,18,19,19,225681,0,0,930
"13083",1,"102",72,0,2013,1,"","Dade County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,20,22,19,239486,0,0,906
"13083",1,"102",72,0,2013,2,"","Dade County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,20,18,19,195226,0,0,790
"13083",1,"102",72,0,2013,3,"","Dade County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,18,19,19,225681,0,0,930
"13083",1,"1021",73,0,2013,1,"","Dade County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,22,19,239486,0,0,906
"13083",1,"1021",73,0,2013,2,"","Dade County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,18,19,195226,0,0,790
"13083",1,"1021",73,0,2013,3,"","Dade County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,18,19,19,225681,0,0,930
"13083",1,"1028",73,0,2013,1,"","Dade County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13083",1,"1028",73,0,2013,2,"","Dade County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13083",1,"1028",73,0,2013,3,"","Dade County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"13083",1,"48-49",74,0,2013,1,"","Dade County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,22,19,239486,0,0,906
"13083",1,"48-49",74,0,2013,2,"","Dade County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,18,19,195226,0,0,790
"13083",1,"48-49",74,0,2013,3,"","Dade County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,18,19,19,225681,0,0,930
"13083",1,"491",75,0,2013,1,"","Dade County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,22,19,239486,0,0,906
"13083",1,"491",75,0,2013,2,"","Dade County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,18,19,195226,0,0,790
"13083",1,"491",75,0,2013,3,"","Dade County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,18,19,19,225681,0,0,930
