"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13127",0,"10",70,0,2013,1,"","Glynn County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2756,34865,34834,35281,333295779,153520333,3731634,733
"13127",0,"10",70,0,2013,2,"","Glynn County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2760,35897,36025,36116,341126802,66367410,1516271,729
"13127",0,"10",70,0,2013,3,"","Glynn County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2784,35789,35672,35087,332190070,36457872,803016,719
"13127",1,"10",71,0,2013,1,"","Glynn County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",49,1653,1635,1623,35179826,0,0,1653
"13127",1,"10",71,0,2013,2,"","Glynn County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",49,1629,1635,1636,38359916,0,0,1807
"13127",1,"10",71,0,2013,3,"","Glynn County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",49,1638,1651,1651,39318047,0,0,1837
"13127",1,"102",72,0,2013,1,"","Glynn County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",49,1653,1635,1623,35179826,0,0,1653
"13127",1,"102",72,0,2013,2,"","Glynn County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",49,1629,1635,1636,38359916,0,0,1807
"13127",1,"102",72,0,2013,3,"","Glynn County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",49,1638,1651,1651,39318047,0,0,1837
"13127",1,"1021",73,0,2013,1,"","Glynn County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,105,104,102,1798575,0,0,1335
"13127",1,"1021",73,0,2013,2,"","Glynn County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,107,101,102,1481670,0,0,1103
"13127",1,"1021",73,0,2013,3,"","Glynn County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,101,105,102,1690613,0,0,1267
"13127",1,"1024",73,0,2013,1,"","Glynn County, Georgia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,38532,0,0,1482
"13127",1,"1024",73,0,2013,2,"","Glynn County, Georgia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,44862,0,0,3451
"13127",1,"1024",73,0,2013,3,"","Glynn County, Georgia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,30005,0,0,2308
"13127",1,"1025",73,0,2013,1,"","Glynn County, Georgia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,901,890,890,18398876,0,0,1584
"13127",1,"1025",73,0,2013,2,"","Glynn County, Georgia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,890,896,901,21166756,0,0,1818
"13127",1,"1025",73,0,2013,3,"","Glynn County, Georgia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,896,904,905,21408079,0,0,1826
"13127",1,"1026",73,0,2013,1,"","Glynn County, Georgia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,31,32,32,566962,0,0,1377
"13127",1,"1026",73,0,2013,2,"","Glynn County, Georgia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,27,28,34,561037,0,0,1455
"13127",1,"1026",73,0,2013,3,"","Glynn County, Georgia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,33,27,30,441078,0,0,1131
"13127",1,"1028",73,0,2013,1,"","Glynn County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",39,614,607,597,14376881,0,0,1825
