"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13157",0,"10",70,0,2013,1,"","Jackson County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1335,18870,19089,19092,165120519,104011454,2547884,668
"13157",0,"10",70,0,2013,2,"","Jackson County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1339,19421,19706,19644,172552222,37888274,917826,678
"13157",0,"10",70,0,2013,3,"","Jackson County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1354,19562,19725,19453,170122589,22303984,542282,668
"13157",1,"10",71,0,2013,1,"","Jackson County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,129,133,133,1713885,0,0,1001
"13157",1,"10",71,0,2013,2,"","Jackson County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,129,135,142,1577326,0,0,897
"13157",1,"10",71,0,2013,3,"","Jackson County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,133,137,141,1817932,0,0,1021
"13157",1,"102",72,0,2013,1,"","Jackson County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,129,133,133,1713885,0,0,1001
"13157",1,"102",72,0,2013,2,"","Jackson County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,129,135,142,1577326,0,0,897
"13157",1,"102",72,0,2013,3,"","Jackson County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,133,137,141,1817932,0,0,1021
"13157",1,"1021",73,0,2013,1,"","Jackson County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"1021",73,0,2013,2,"","Jackson County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"1021",73,0,2013,3,"","Jackson County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"1028",73,0,2013,1,"","Jackson County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,25,25,26,383013,0,0,1163
"13157",1,"1028",73,0,2013,2,"","Jackson County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,25,25,31,420602,0,0,1198
"13157",1,"1028",73,0,2013,3,"","Jackson County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,26,27,31,467932,0,0,1286
"13157",1,"48-49",74,0,2013,1,"","Jackson County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"48-49",74,0,2013,2,"","Jackson County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"48-49",74,0,2013,3,"","Jackson County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"491",75,0,2013,1,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"491",75,0,2013,2,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"491",75,0,2013,3,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"4911",76,0,2013,1,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"4911",76,0,2013,2,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"4911",76,0,2013,3,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"49111",77,0,2013,1,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"49111",77,0,2013,2,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"49111",77,0,2013,3,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"491110",78,0,2013,1,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,104,108,107,1330872,0,0,963
"13157",1,"491110",78,0,2013,2,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,104,110,111,1156724,0,0,821
"13157",1,"491110",78,0,2013,3,"","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,107,110,110,1350000,0,0,953
"13157",1,"92",74,0,2013,1,"","Jackson County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,25,26,383013,0,0,1163
"13157",1,"92",74,0,2013,2,"","Jackson County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,25,31,420602,0,0,1198
"13157",1,"92",74,0,2013,3,"","Jackson County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,26,27,31,467932,0,0,1286
"13157",1,"924",75,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,85243,0,0,1093
"13157",1,"924",75,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,12,99838,0,0,960
"13157",1,"924",75,0,2013,3,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,8,13,111808,0,0,921
"13157",1,"9241",76,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,85243,0,0,1093
"13157",1,"9241",76,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,12,99838,0,0,960
"13157",1,"9241",76,0,2013,3,"","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,8,13,111808,0,0,921
"13157",1,"92412",77,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,6,6,85243,0,0,1093
"13157",1,"92412",77,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,6,12,99838,0,0,960
"13157",1,"92412",77,0,2013,3,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,8,13,111808,0,0,921
"13157",1,"924120",78,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,6,6,85243,0,0,1093
"13157",1,"924120",78,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,6,12,99838,0,0,960
"13157",1,"924120",78,0,2013,3,"","Jackson County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,8,13,111808,0,0,921
"13157",1,"926",75,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,19,20,297770,0,0,1185
"13157",1,"926",75,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,19,19,320764,0,0,1299
"13157",1,"926",75,0,2013,3,"","Jackson County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,19,18,356124,0,0,1468
"13157",1,"9261",76,0,2013,1,"","Jackson County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,19,20,297770,0,0,1185
"13157",1,"9261",76,0,2013,2,"","Jackson County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,19,19,320764,0,0,1299
