"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"13173",0,"10",70,0,2013,1,"","Lanier County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",130,1359,1389,1349,9309685,4298443,96626,524
"13173",0,"10",70,0,2013,2,"","Lanier County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",129,1646,1660,1648,9810669,2315597,57552,457
"13173",0,"10",70,0,2013,3,"","Lanier County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",131,1810,1674,1639,10200088,1592475,39233,459
"13173",1,"10",71,0,2013,1,"","Lanier County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,15,13,13,161417,0,0,909
"13173",1,"10",71,0,2013,2,"","Lanier County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,14,15,15,141410,0,0,742
"13173",1,"10",71,0,2013,3,"","Lanier County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,14,15,15,163822,0,0,859
"13173",1,"102",72,0,2013,1,"","Lanier County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,15,13,13,161417,0,0,909
"13173",1,"102",72,0,2013,2,"","Lanier County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,15,15,141410,0,0,742
"13173",1,"102",72,0,2013,3,"","Lanier County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,14,15,15,163822,0,0,859
"13173",1,"1021",73,0,2013,1,"","Lanier County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"1021",73,0,2013,2,"","Lanier County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"1021",73,0,2013,3,"","Lanier County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"1028",73,0,2013,1,"","Lanier County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,7641,0,0,588
"13173",1,"1028",73,0,2013,2,"","Lanier County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,8960,0,0,689
"13173",1,"1028",73,0,2013,3,"","Lanier County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,10484,0,0,806
"13173",1,"48-49",74,0,2013,1,"","Lanier County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"48-49",74,0,2013,2,"","Lanier County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"48-49",74,0,2013,3,"","Lanier County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"491",75,0,2013,1,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"491",75,0,2013,2,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"491",75,0,2013,3,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"4911",76,0,2013,1,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"4911",76,0,2013,2,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"4911",76,0,2013,3,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"49111",77,0,2013,1,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"49111",77,0,2013,2,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"49111",77,0,2013,3,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"491110",78,0,2013,1,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,12,12,153776,0,0,934
"13173",1,"491110",78,0,2013,2,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,14,14,132450,0,0,745
"13173",1,"491110",78,0,2013,3,"","Lanier County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,14,14,153338,0,0,863
"13173",1,"92",74,0,2013,1,"","Lanier County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,1,1,1,7641,0,0,588
