"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17021",0,"10",70,0,2013,1,"","Christian County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",827,10584,10764,10724,93382516,51926926,2545730,672
"17021",0,"10",70,0,2013,2,"","Christian County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",826,10768,11080,10801,93266933,25437578,1209372,659
"17021",0,"10",70,0,2013,3,"","Christian County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",826,10613,10568,10678,91766240,12730385,503841,665
"17021",1,"10",71,0,2013,1,"","Christian County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,73,68,69,924921,0,0,1016
"17021",1,"10",71,0,2013,2,"","Christian County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,74,69,69,819984,0,0,893
"17021",1,"10",71,0,2013,3,"","Christian County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,72,71,77,958255,0,0,1005
"17021",1,"102",72,0,2013,1,"","Christian County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,73,68,69,924921,0,0,1016
"17021",1,"102",72,0,2013,2,"","Christian County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,74,69,69,819984,0,0,893
"17021",1,"102",72,0,2013,3,"","Christian County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,72,71,77,958255,0,0,1005
"17021",1,"1021",73,0,2013,1,"","Christian County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"1021",73,0,2013,2,"","Christian County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"1021",73,0,2013,3,"","Christian County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"1028",73,0,2013,1,"","Christian County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,8,97705,0,0,939
"17021",1,"1028",73,0,2013,2,"","Christian County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,8,115000,0,0,1106
"17021",1,"1028",73,0,2013,3,"","Christian County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,8,8,115120,0,0,1022
"17021",1,"48-49",74,0,2013,1,"","Christian County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"48-49",74,0,2013,2,"","Christian County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"48-49",74,0,2013,3,"","Christian County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"491",75,0,2013,1,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"491",75,0,2013,2,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"491",75,0,2013,3,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"4911",76,0,2013,1,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"4911",76,0,2013,2,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"4911",76,0,2013,3,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"49111",77,0,2013,1,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"49111",77,0,2013,2,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"49111",77,0,2013,3,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"491110",78,0,2013,1,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,65,60,61,827216,0,0,1026
"17021",1,"491110",78,0,2013,2,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,66,61,61,704984,0,0,865
"17021",1,"491110",78,0,2013,3,"","Christian County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,62,63,69,843135,0,0,1003
"17021",1,"92",74,0,2013,1,"","Christian County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,8,8,97705,0,0,939
"17021",1,"92",74,0,2013,2,"","Christian County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,8,8,115000,0,0,1106
"17021",1,"92",74,0,2013,3,"","Christian County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,8,8,115120,0,0,1022
"17021",1,"924",75,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,23698,0,0,911
"17021",1,"924",75,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"924",75,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"9241",76,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,23698,0,0,911
"17021",1,"9241",76,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"9241",76,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"92412",77,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,23698,0,0,911
"17021",1,"92412",77,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"92412",77,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"924120",78,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,23698,0,0,911
"17021",1,"924120",78,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"924120",78,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,27647,0,0,1063
"17021",1,"926",75,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,74007,0,0,949
"17021",1,"926",75,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,87353,0,0,1120
"17021",1,"926",75,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,6,6,87473,0,0,1009
"17021",1,"9261",76,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,74007,0,0,949
"17021",1,"9261",76,0,2013,2,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,87353,0,0,1120
"17021",1,"9261",76,0,2013,3,"","Christian County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,6,6,87473,0,0,1009
"17021",1,"92611",77,0,2013,1,"","Christian County, Illinois","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
