"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17057",0,"10",70,0,2013,1,"","Fulton County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",777,8065,8135,8242,62153069,29284309,938620,587
"17057",0,"10",70,0,2013,2,"","Fulton County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",772,8233,8389,8293,61341167,17519095,596327,568
"17057",0,"10",70,0,2013,3,"","Fulton County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",772,8100,8086,8156,60601826,10478375,357470,575
"17057",1,"10",71,0,2013,1,"","Fulton County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,90,87,91,1167254,0,0,1005
"17057",1,"10",71,0,2013,2,"","Fulton County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,88,89,91,1004968,0,0,865
"17057",1,"10",71,0,2013,3,"","Fulton County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,93,93,91,1106065,0,0,921
"17057",1,"102",72,0,2013,1,"","Fulton County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,90,87,91,1167254,0,0,1005
"17057",1,"102",72,0,2013,2,"","Fulton County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,88,89,91,1004968,0,0,865
"17057",1,"102",72,0,2013,3,"","Fulton County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,93,93,91,1106065,0,0,921
"17057",1,"1021",73,0,2013,1,"","Fulton County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,76,76,77,1021806,0,0,1030
"17057",1,"1021",73,0,2013,2,"","Fulton County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,77,78,80,840729,0,0,826
"17057",1,"1021",73,0,2013,3,"","Fulton County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,82,82,79,940046,0,0,893
