"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"17149",0,"10",70,0,2013,1,"","Pike County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",488,3901,3911,3904,27998489,19515249,540305,551
"17149",0,"10",70,0,2013,2,"","Pike County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",495,4090,4156,4162,28603775,11707849,339944,532
"17149",0,"10",70,0,2013,3,"","Pike County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",492,4186,4216,4206,28773703,6287438,184488,527
"17149",1,"10",71,0,2013,1,"","Pike County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,57,58,61,629845,0,0,826
"17149",1,"10",71,0,2013,2,"","Pike County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,59,59,59,599192,0,0,781
"17149",1,"10",71,0,2013,3,"","Pike County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,61,64,64,685859,0,0,837
"17149",1,"102",72,0,2013,1,"","Pike County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,57,58,61,629845,0,0,826
"17149",1,"102",72,0,2013,2,"","Pike County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,59,59,59,599192,0,0,781
"17149",1,"102",72,0,2013,3,"","Pike County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,61,64,64,685859,0,0,837
"17149",1,"1021",73,0,2013,1,"","Pike County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,47,47,48,486253,0,0,790
"17149",1,"1021",73,0,2013,2,"","Pike County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,48,48,48,429190,0,0,688
"17149",1,"1021",73,0,2013,3,"","Pike County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,50,50,54,513115,0,0,769
"17149",1,"1028",73,0,2013,1,"","Pike County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,11,13,143592,0,0,975
"17149",1,"1028",73,0,2013,2,"","Pike County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,11,170002,0,0,1189
"17149",1,"1028",73,0,2013,3,"","Pike County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,14,10,172744,0,0,1139
"17149",1,"48-49",74,0,2013,1,"","Pike County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,47,47,48,486253,0,0,790
