"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"19113",0,"10",70,0,2013,1,"","Linn County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6373,124199,124527,125069,1496891308,1071699017,17325911,924
"19113",0,"10",70,0,2013,2,"","Linn County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6416,125792,127112,128791,1457531407,654458080,12802005,881
"19113",0,"10",70,0,2013,3,"","Linn County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6428,125940,126286,127638,1456373958,370629411,7923591,885
"19113",1,"10",71,0,2013,1,"","Linn County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1053,1060,1045,18299546,0,0,1337
"19113",1,"10",71,0,2013,2,"","Linn County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1073,1042,1054,16997395,0,0,1238
"19113",1,"10",71,0,2013,3,"","Linn County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1055,1054,1063,18506385,0,0,1346
"19113",1,"102",72,0,2013,1,"","Linn County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1053,1060,1045,18299546,0,0,1337
"19113",1,"102",72,0,2013,2,"","Linn County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1073,1042,1054,16997395,0,0,1238
"19113",1,"102",72,0,2013,3,"","Linn County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1055,1054,1063,18506385,0,0,1346
"19113",1,"1021",73,0,2013,1,"","Linn County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"1021",73,0,2013,2,"","Linn County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"1021",73,0,2013,3,"","Linn County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"1023",73,0,2013,1,"","Linn County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,35,33,36,814647,0,0,1808
"19113",1,"1023",73,0,2013,2,"","Linn County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,34,33,38,940559,0,0,2067
"19113",1,"1023",73,0,2013,3,"","Linn County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,38,38,38,962939,0,0,1949
"19113",1,"1025",73,0,2013,1,"","Linn County, Iowa","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,23,23,454061,0,0,1541
"19113",1,"1025",73,0,2013,2,"","Linn County, Iowa","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,23,25,424147,0,0,1398
"19113",1,"1025",73,0,2013,3,"","Linn County, Iowa","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,28,28,28,525334,0,0,1443
"19113",1,"1028",73,0,2013,1,"","Linn County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,463,460,461,8221664,0,0,1371
"19113",1,"1028",73,0,2013,2,"","Linn County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,461,463,464,8567535,0,0,1424
"19113",1,"1028",73,0,2013,3,"","Linn County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,460,455,464,8651046,0,0,1448
"19113",1,"48-49",74,0,2013,1,"","Linn County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"48-49",74,0,2013,2,"","Linn County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"48-49",74,0,2013,3,"","Linn County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"491",75,0,2013,1,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"491",75,0,2013,2,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"491",75,0,2013,3,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"4911",76,0,2013,1,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"4911",76,0,2013,2,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"4911",76,0,2013,3,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"49111",77,0,2013,1,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"49111",77,0,2013,2,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"49111",77,0,2013,3,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"491110",78,0,2013,1,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,533,544,525,8809174,0,0,1269
"19113",1,"491110",78,0,2013,2,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,556,523,527,7065154,0,0,1015
"19113",1,"491110",78,0,2013,3,"","Linn County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",17,529,533,533,8367066,0,0,1211
"19113",1,"52",74,0,2013,1,"","Linn County, Iowa","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,35,33,36,814647,0,0,1808
"19113",1,"52",74,0,2013,2,"","Linn County, Iowa","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,33,38,940559,0,0,2067
"19113",1,"52",74,0,2013,3,"","Linn County, Iowa","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,38,38,38,962939,0,0,1949
