"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20119",0,"10",70,0,2013,1,"","Meade County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",147,1435,1429,1516,11733378,8741884,207969,618
"20119",0,"10",70,0,2013,2,"","Meade County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",148,1481,1512,1587,12177084,4183322,50450,614
"20119",0,"10",70,0,2013,3,"","Meade County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",147,1524,1501,1543,11656247,2851303,32236,589
"20119",1,"10",71,0,2013,1,"","Meade County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,11,12,16,146078,0,0,864
"20119",1,"10",71,0,2013,2,"","Meade County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,11,15,12,147518,0,0,896
"20119",1,"10",71,0,2013,3,"","Meade County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,12,14,12,173436,0,0,1053
"20119",1,"102",72,0,2013,1,"","Meade County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,11,12,16,146078,0,0,864
"20119",1,"102",72,0,2013,2,"","Meade County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,11,15,12,147518,0,0,896
"20119",1,"102",72,0,2013,3,"","Meade County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,12,14,12,173436,0,0,1053
"20119",1,"1021",73,0,2013,1,"","Meade County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,7,7,80003,0,0,923
"20119",1,"1021",73,0,2013,2,"","Meade County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,7,7,69853,0,0,806
"20119",1,"1021",73,0,2013,3,"","Meade County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,7,6,7,92686,0,0,1069
