"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"20135",0,"10",70,0,2013,1,"","Ness County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",165,1321,1327,1310,11158309,7444125,129025,651
"20135",0,"10",70,0,2013,2,"","Ness County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",167,1319,1301,1346,12713270,3622417,31200,740
"20135",0,"10",70,0,2013,3,"","Ness County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",166,1306,1285,1296,12175206,3082026,26880,723
"20135",1,"10",71,0,2013,1,"","Ness County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,23,25,24,264256,0,0,847
"20135",1,"10",71,0,2013,2,"","Ness County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,25,25,29,266499,0,0,778
"20135",1,"10",71,0,2013,3,"","Ness County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,23,22,22,278056,0,0,958
"20135",1,"102",72,0,2013,1,"","Ness County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,23,25,24,264256,0,0,847
"20135",1,"102",72,0,2013,2,"","Ness County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,25,25,29,266499,0,0,778
"20135",1,"102",72,0,2013,3,"","Ness County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,23,22,22,278056,0,0,958
"20135",1,"1021",73,0,2013,1,"","Ness County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,13,15,14,135897,0,0,747
"20135",1,"1021",73,0,2013,2,"","Ness County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,15,15,15,114822,0,0,589
"20135",1,"1021",73,0,2013,3,"","Ness County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,13,12,13,128190,0,0,778
"20135",1,"1028",73,0,2013,1,"","Ness County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,10,10,128359,0,0,987
"20135",1,"1028",73,0,2013,2,"","Ness County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,10,14,151677,0,0,1029
"20135",1,"1028",73,0,2013,3,"","Ness County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,10,9,149866,0,0,1193
"20135",1,"48-49",74,0,2013,1,"","Ness County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,13,15,14,135897,0,0,747
"20135",1,"48-49",74,0,2013,2,"","Ness County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,15,15,15,114822,0,0,589
