"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"21193",0,"10",70,0,2013,1,"","Perry County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",858,12368,12365,12427,113049528,50946324,1434432,702
"21193",0,"10",70,0,2013,2,"","Perry County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",866,12478,12569,12419,119266673,17825880,523748,735
"21193",0,"10",70,0,2013,3,"","Perry County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",863,11872,12339,12378,109986914,9410231,284966,694
"21193",1,"10",71,0,2013,1,"","Perry County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,129,130,127,1875418,0,0,1121
"21193",1,"10",71,0,2013,2,"","Perry County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,124,122,123,1788758,0,0,1119
"21193",1,"10",71,0,2013,3,"","Perry County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,124,129,127,1873507,0,0,1138
"21193",1,"102",72,0,2013,1,"","Perry County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,129,130,127,1875418,0,0,1121
"21193",1,"102",72,0,2013,2,"","Perry County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,124,122,123,1788758,0,0,1119
"21193",1,"102",72,0,2013,3,"","Perry County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,124,129,127,1873507,0,0,1138
"21193",1,"1021",73,0,2013,1,"","Perry County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,50,54,55,639040,0,0,927
"21193",1,"1021",73,0,2013,2,"","Perry County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,51,51,53,573737,0,0,854
"21193",1,"1021",73,0,2013,3,"","Perry County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,53,58,59,667941,0,0,907
"21193",1,"1023",73,0,2013,1,"","Perry County, Kentucky","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,4,89835,0,0,1481
"21193",1,"1023",73,0,2013,2,"","Perry County, Kentucky","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,59343,0,0,1141
