"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"21197",0,"10",70,0,2013,1,"","Powell County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",225,2394,2403,2478,16523008,8427213,303673,524
"21197",0,"10",70,0,2013,2,"","Powell County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",225,2407,2420,2481,17939185,4289144,166637,566
"21197",0,"10",70,0,2013,3,"","Powell County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",229,2437,2476,2438,16444649,2463723,81861,516
"21197",1,"10",71,0,2013,1,"","Powell County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,30,31,30,330593,0,0,838
"21197",1,"10",71,0,2013,2,"","Powell County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,31,32,39,341693,0,0,773
"21197",1,"10",71,0,2013,3,"","Powell County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,37,36,38,450426,0,0,936
"21197",1,"102",72,0,2013,1,"","Powell County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,30,31,30,330593,0,0,838
"21197",1,"102",72,0,2013,2,"","Powell County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,31,32,39,341693,0,0,773
"21197",1,"102",72,0,2013,3,"","Powell County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,37,36,38,450426,0,0,936
"21197",1,"1021",73,0,2013,1,"","Powell County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,19,19,19,218960,0,0,886
"21197",1,"1021",73,0,2013,2,"","Powell County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,19,20,21,193427,0,0,744
"21197",1,"1021",73,0,2013,3,"","Powell County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,19,21,21,252923,0,0,957
"21197",1,"1028",73,0,2013,1,"","Powell County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,11,12,11,111633,0,0,758
"21197",1,"1028",73,0,2013,2,"","Powell County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,18,148266,0,0,815
"21197",1,"1028",73,0,2013,3,"","Powell County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,18,15,17,197503,0,0,912
"21197",1,"48-49",74,0,2013,1,"","Powell County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,19,19,19,218960,0,0,886
"21197",1,"48-49",74,0,2013,2,"","Powell County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,19,20,21,193427,0,0,744
"21197",1,"48-49",74,0,2013,3,"","Powell County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,19,21,21,252923,0,0,957
"21197",1,"491",75,0,2013,1,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,19,19,218960,0,0,886
"21197",1,"491",75,0,2013,2,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,20,21,193427,0,0,744
"21197",1,"491",75,0,2013,3,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,21,21,252923,0,0,957
"21197",1,"4911",76,0,2013,1,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,19,19,218960,0,0,886
"21197",1,"4911",76,0,2013,2,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,20,21,193427,0,0,744
"21197",1,"4911",76,0,2013,3,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,21,21,252923,0,0,957
"21197",1,"49111",77,0,2013,1,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,19,19,19,218960,0,0,886
"21197",1,"49111",77,0,2013,2,"","Powell County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,19,20,21,193427,0,0,744
