"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"26151",0,"10",70,0,2013,1,"","Sanilac County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",887,10542,10604,10677,82562606,47531222,2953911,599
"26151",0,"10",70,0,2013,2,"","Sanilac County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",889,10662,10929,11067,85134149,20294129,1225987,602
"26151",0,"10",70,0,2013,3,"","Sanilac County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",890,10837,10995,11215,86611788,11731746,700242,605
"26151",1,"10",71,0,2013,1,"","Sanilac County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,103,109,105,1214968,0,0,884
"26151",1,"10",71,0,2013,2,"","Sanilac County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,105,99,99,1024734,0,0,780
"26151",1,"10",71,0,2013,3,"","Sanilac County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,103,100,99,1181732,0,0,903
"26151",1,"102",72,0,2013,1,"","Sanilac County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,103,109,105,1214968,0,0,884
"26151",1,"102",72,0,2013,2,"","Sanilac County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,105,99,99,1024734,0,0,780
"26151",1,"102",72,0,2013,3,"","Sanilac County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,103,100,99,1181732,0,0,903
"26151",1,"1021",73,0,2013,1,"","Sanilac County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"1021",73,0,2013,2,"","Sanilac County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"1021",73,0,2013,3,"","Sanilac County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"1028",73,0,2013,1,"","Sanilac County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,12,12,14,130131,0,0,790
"26151",1,"1028",73,0,2013,2,"","Sanilac County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,10,10,135513,0,0,1042
"26151",1,"1028",73,0,2013,3,"","Sanilac County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,11,14,151281,0,0,895
"26151",1,"48-49",74,0,2013,1,"","Sanilac County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"48-49",74,0,2013,2,"","Sanilac County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"48-49",74,0,2013,3,"","Sanilac County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"491",75,0,2013,1,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"491",75,0,2013,2,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"491",75,0,2013,3,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"4911",76,0,2013,1,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"4911",76,0,2013,2,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"4911",76,0,2013,3,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"49111",77,0,2013,1,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"49111",77,0,2013,2,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"49111",77,0,2013,3,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"491110",78,0,2013,1,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,91,97,91,1084837,0,0,897
"26151",1,"491110",78,0,2013,2,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,95,89,89,889221,0,0,752
"26151",1,"491110",78,0,2013,3,"","Sanilac County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,89,89,85,1030451,0,0,904
"26151",1,"92",74,0,2013,1,"","Sanilac County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,12,14,130131,0,0,790
"26151",1,"92",74,0,2013,2,"","Sanilac County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,10,10,10,135513,0,0,1042
"26151",1,"92",74,0,2013,3,"","Sanilac County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,11,14,151281,0,0,895
"26151",1,"924",75,0,2013,1,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,7,10,85458,0,0,822
"26151",1,"924",75,0,2013,2,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,6,83194,0,0,1067
"26151",1,"924",75,0,2013,3,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,6,9,83791,0,0,806
"26151",1,"9241",76,0,2013,1,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,7,10,85458,0,0,822
"26151",1,"9241",76,0,2013,2,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,6,83194,0,0,1067
"26151",1,"9241",76,0,2013,3,"","Sanilac County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,6,9,83791,0,0,806
