"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"27125",0,"10",70,0,2013,1,"","Red Lake County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",132,1040,1035,975,7621248,4556733,148051,577
"27125",0,"10",70,0,2013,2,"","Red Lake County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",135,991,1110,1122,8053804,4418682,151823,577
"27125",0,"10",70,0,2013,3,"","Red Lake County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",135,1024,1039,1029,7471238,3340680,146521,558
"27125",1,"10",71,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,22,19,23,182146,0,0,657
"27125",1,"10",71,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,23,16,19,173839,0,0,692
"27125",1,"10",71,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,16,17,20,164342,0,0,716
"27125",1,"102",72,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,22,19,23,182146,0,0,657
"27125",1,"102",72,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,23,16,19,173839,0,0,692
"27125",1,"102",72,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,16,17,20,164342,0,0,716
"27125",1,"1021",73,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"1021",73,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"1021",73,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"1028",73,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,6,10,71374,0,0,659
"27125",1,"1028",73,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,6,6,83549,0,0,876
"27125",1,"1028",73,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,6,6,10,84693,0,0,888
"27125",1,"48-49",74,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"48-49",74,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"48-49",74,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"491",75,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"491",75,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"491",75,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"4911",76,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"4911",76,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"4911",76,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"49111",77,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"49111",77,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"49111",77,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"491110",78,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,13,13,13,110772,0,0,655
"27125",1,"491110",78,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,13,10,13,90290,0,0,579
"27125",1,"491110",78,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,11,10,79649,0,0,593
"27125",1,"92",74,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,6,10,71374,0,0,659
"27125",1,"92",74,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,10,6,6,83549,0,0,876
"27125",1,"92",74,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,6,6,10,84693,0,0,888
"27125",1,"924",75,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,28781,0,0,738
"27125",1,"924",75,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,33578,0,0,861
"27125",1,"924",75,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,34531,0,0,885
"27125",1,"9241",76,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,3,3,28781,0,0,738
"27125",1,"9241",76,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,3,3,33578,0,0,861
"27125",1,"9241",76,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,3,3,34531,0,0,885
"27125",1,"92411",77,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"92411",77,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"92411",77,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"924110",78,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"924110",78,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"924110",78,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Air, water, and waste program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"27125",1,"92412",77,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,28781,0,0,738
"27125",1,"92412",77,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,33578,0,0,861
"27125",1,"92412",77,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,34531,0,0,885
"27125",1,"924120",78,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,28781,0,0,738
"27125",1,"924120",78,0,2013,2,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,33578,0,0,861
"27125",1,"924120",78,0,2013,3,"","Red Lake County, Minnesota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,34531,0,0,885
"27125",1,"926",75,0,2013,1,"","Red Lake County, Minnesota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,3,7,42593,0,0,614
