"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29015",0,"10",70,0,2013,1,"","Benton County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",478,3457,3441,3493,23552795,12491038,270567,523
"29015",0,"10",70,0,2013,2,"","Benton County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",506,3671,3744,3684,25590489,8902946,202760,532
"29015",0,"10",70,0,2013,3,"","Benton County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",514,3214,3330,3526,21806755,5140601,119022,500
"29015",1,"10",71,0,2013,1,"","Benton County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,96,92,93,1273564,0,0,1046
"29015",1,"10",71,0,2013,2,"","Benton County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,98,97,101,1357455,0,0,1058
"29015",1,"10",71,0,2013,3,"","Benton County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,101,102,98,1320222,0,0,1012
"29015",1,"102",72,0,2013,1,"","Benton County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,96,92,93,1273564,0,0,1046
"29015",1,"102",72,0,2013,2,"","Benton County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,98,97,101,1357455,0,0,1058
"29015",1,"102",72,0,2013,3,"","Benton County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,101,102,98,1320222,0,0,1012
"29015",1,"1021",73,0,2013,1,"","Benton County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"1021",73,0,2013,2,"","Benton County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"1021",73,0,2013,3,"","Benton County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"1024",73,0,2013,1,"","Benton County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,54,53,53,861580,0,0,1243
"29015",1,"1024",73,0,2013,2,"","Benton County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,56,59,63,1010339,0,0,1310
"29015",1,"1024",73,0,2013,3,"","Benton County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,62,61,58,910322,0,0,1161
"29015",1,"1028",73,0,2013,1,"","Benton County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,3,3,33207,0,0,639
"29015",1,"1028",73,0,2013,2,"","Benton County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,3,3,38712,0,0,744
"29015",1,"1028",73,0,2013,3,"","Benton County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,6,6,39540,0,0,608
"29015",1,"48-49",74,0,2013,1,"","Benton County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"48-49",74,0,2013,2,"","Benton County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"48-49",74,0,2013,3,"","Benton County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"491",75,0,2013,1,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"491",75,0,2013,2,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"491",75,0,2013,3,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"4911",76,0,2013,1,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"4911",76,0,2013,2,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"4911",76,0,2013,3,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"49111",77,0,2013,1,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"49111",77,0,2013,2,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"49111",77,0,2013,3,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"491110",78,0,2013,1,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,36,37,378777,0,0,802
"29015",1,"491110",78,0,2013,2,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,35,35,308404,0,0,671
"29015",1,"491110",78,0,2013,3,"","Benton County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,35,34,370360,0,0,814
"29015",1,"54",74,0,2013,1,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,54,53,53,861580,0,0,1243
"29015",1,"54",74,0,2013,2,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,56,59,63,1010339,0,0,1310
"29015",1,"54",74,0,2013,3,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,62,61,58,910322,0,0,1161
"29015",1,"541",75,0,2013,1,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,54,53,53,861580,0,0,1243
"29015",1,"541",75,0,2013,2,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,56,59,63,1010339,0,0,1310
"29015",1,"541",75,0,2013,3,"","Benton County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,62,61,58,910322,0,0,1161
"29015",1,"5413",76,0,2013,1,"","Benton County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,54,53,53,861580,0,0,1243
"29015",1,"5413",76,0,2013,2,"","Benton County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,56,59,63,1010339,0,0,1310
"29015",1,"5413",76,0,2013,3,"","Benton County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,62,61,58,910322,0,0,1161
"29015",1,"54133",77,0,2013,1,"","Benton County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,54,53,53,861580,0,0,1243
"29015",1,"54133",77,0,2013,2,"","Benton County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,56,59,63,1010339,0,0,1310
"29015",1,"54133",77,0,2013,3,"","Benton County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,62,61,58,910322,0,0,1161
