"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29186",0,"10",70,0,2013,1,"","Ste. Genevieve County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",453,5263,5237,5280,53094676,33657255,761180,776
"29186",0,"10",70,0,2013,2,"","Ste. Genevieve County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",452,5392,5452,5445,52107329,11443092,274620,738
"29186",0,"10",70,0,2013,3,"","Ste. Genevieve County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",465,5316,5358,5466,50176520,6922250,164670,717
"29186",1,"10",71,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,32,28,25,314101,0,0,853
"29186",1,"10",71,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,25,27,289241,0,0,824
"29186",1,"10",71,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,26,26,337095,0,0,960
"29186",1,"102",72,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,32,28,25,314101,0,0,853
"29186",1,"102",72,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,25,27,289241,0,0,824
"29186",1,"102",72,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,26,26,337095,0,0,960
"29186",1,"1021",73,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"1021",73,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"1021",73,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"1028",73,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,4,4,49962,0,0,769
"29186",1,"1028",73,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,4,6,52783,0,0,761
"29186",1,"1028",73,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,4,4,54912,0,0,845
"29186",1,"48-49",74,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"48-49",74,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"48-49",74,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"491",75,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"491",75,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"491",75,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"4911",76,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"4911",76,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"4911",76,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"49111",77,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"49111",77,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"49111",77,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"491110",78,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,25,24,21,264139,0,0,871
"29186",1,"491110",78,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,23,21,21,236458,0,0,839
"29186",1,"491110",78,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,22,22,22,282183,0,0,987
"29186",1,"92",74,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,4,4,49962,0,0,769
"29186",1,"92",74,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,4,6,52783,0,0,761
"29186",1,"92",74,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,4,4,54912,0,0,845
"29186",1,"924",75,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,3,3,33016,0,0,635
"29186",1,"924",75,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,3,5,38258,0,0,679
"29186",1,"924",75,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,3,3,39419,0,0,758
"29186",1,"9241",76,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,3,3,33016,0,0,635
"29186",1,"9241",76,0,2013,2,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,3,5,38258,0,0,679
"29186",1,"9241",76,0,2013,3,"","Ste. Genevieve County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,3,3,39419,0,0,758
"29186",1,"92412",77,0,2013,1,"","Ste. Genevieve County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,3,3,33016,0,0,635
