"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"29209",0,"10",70,0,2013,1,"","Stone County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",743,4622,4620,4782,29489195,18599054,544923,485
"29209",0,"10",70,0,2013,2,"","Stone County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",747,5037,5352,5600,35766534,14622917,520479,516
"29209",0,"10",70,0,2013,3,"","Stone County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",745,5073,4900,5238,32269151,10174315,401144,490
"29209",1,"10",71,0,2013,1,"","Stone County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"10",71,0,2013,2,"","Stone County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"10",71,0,2013,3,"","Stone County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"102",72,0,2013,1,"","Stone County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"102",72,0,2013,2,"","Stone County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"102",72,0,2013,3,"","Stone County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"1021",73,0,2013,1,"","Stone County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"1021",73,0,2013,2,"","Stone County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"1021",73,0,2013,3,"","Stone County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"48-49",74,0,2013,1,"","Stone County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"48-49",74,0,2013,2,"","Stone County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"48-49",74,0,2013,3,"","Stone County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"491",75,0,2013,1,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"491",75,0,2013,2,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"491",75,0,2013,3,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"4911",76,0,2013,1,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"4911",76,0,2013,2,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"4911",76,0,2013,3,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
"29209",1,"49111",77,0,2013,1,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,36,37,36,412766,0,0,874
"29209",1,"49111",77,0,2013,2,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,37,36,37,371667,0,0,780
"29209",1,"49111",77,0,2013,3,"","Stone County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,38,36,37,436311,0,0,907
