"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"35005",0,"10",70,0,2013,1,"","Chaves County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1684,20588,20655,20616,162025855,112725679,1520840,604
"35005",0,"10",70,0,2013,2,"","Chaves County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1699,20883,20901,20821,171300951,86827820,1211619,631
"35005",0,"10",70,0,2013,3,"","Chaves County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1716,19639,20587,20780,159685587,62902629,890242,604
"35005",1,"10",71,0,2013,1,"","Chaves County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,288,290,287,4209500,0,0,1123
"35005",1,"10",71,0,2013,2,"","Chaves County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,289,275,274,4097545,0,0,1128
"35005",1,"10",71,0,2013,3,"","Chaves County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,275,267,265,3936615,0,0,1126
"35005",1,"102",72,0,2013,1,"","Chaves County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,288,290,287,4209500,0,0,1123
"35005",1,"102",72,0,2013,2,"","Chaves County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,289,275,274,4097545,0,0,1128
"35005",1,"102",72,0,2013,3,"","Chaves County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,275,267,265,3936615,0,0,1126
"35005",1,"1021",73,0,2013,1,"","Chaves County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,129,134,126,2142761,0,0,1271
"35005",1,"1021",73,0,2013,2,"","Chaves County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,131,124,118,1788319,0,0,1106
"35005",1,"1021",73,0,2013,3,"","Chaves County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,119,116,115,1748497,0,0,1153
"35005",1,"1028",73,0,2013,1,"","Chaves County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,159,156,161,2066739,0,0,1002
"35005",1,"1028",73,0,2013,2,"","Chaves County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,158,151,156,2309226,0,0,1146
"35005",1,"1028",73,0,2013,3,"","Chaves County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,156,151,150,2188118,0,0,1105
"35005",1,"48-49",74,0,2013,1,"","Chaves County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,129,134,126,2142761,0,0,1271
"35005",1,"48-49",74,0,2013,2,"","Chaves County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,131,124,118,1788319,0,0,1106
