"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"36103",0,"10",70,0,2013,1,"","Suffolk County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",50768,606938,605213,614598,8173463522,2822353903,125593181,1033
"36103",0,"10",70,0,2013,2,"","Suffolk County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",51206,628643,638534,652520,8287833467,895701181,40919949,996
"36103",0,"10",70,0,2013,3,"","Suffolk County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",51665,624535,616857,633997,8125290308,584330060,26861095,1000
"36103",1,"10",71,0,2013,1,"","Suffolk County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",169,11587,11560,11565,211307313,0,0,1405
"36103",1,"10",71,0,2013,2,"","Suffolk County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",169,11698,11577,11598,201900181,0,0,1336
"36103",1,"10",71,0,2013,3,"","Suffolk County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",170,11491,11365,11275,212740114,0,0,1438
"36103",1,"102",72,0,2013,1,"","Suffolk County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",169,11587,11560,11565,211307313,0,0,1405
"36103",1,"102",72,0,2013,2,"","Suffolk County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",169,11698,11577,11598,201900181,0,0,1336
"36103",1,"102",72,0,2013,3,"","Suffolk County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",170,11491,11365,11275,212740114,0,0,1438
"36103",1,"1021",73,0,2013,1,"","Suffolk County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",113,4659,4648,4542,89773579,0,0,1496
"36103",1,"1021",73,0,2013,2,"","Suffolk County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",113,4673,4575,4582,78354051,0,0,1307
