"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37037",0,"10",70,0,2013,1,"","Chatham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1331,13791,13870,13977,112412294,77003514,1870778,623
"37037",0,"10",70,0,2013,2,"","Chatham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1335,14261,14362,14392,116225066,59160424,1331284,624
"37037",0,"10",70,0,2013,3,"","Chatham County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1340,13261,14139,14222,112070075,42867337,790763,621
"37037",1,"10",71,0,2013,1,"","Chatham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,125,113,114,1522005,0,0,998
"37037",1,"10",71,0,2013,2,"","Chatham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,113,111,114,1490617,0,0,1018
"37037",1,"10",71,0,2013,3,"","Chatham County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,111,113,117,1559849,0,0,1056
"37037",1,"102",72,0,2013,1,"","Chatham County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,125,113,114,1522005,0,0,998
"37037",1,"102",72,0,2013,2,"","Chatham County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,113,111,114,1490617,0,0,1018
"37037",1,"102",72,0,2013,3,"","Chatham County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,111,113,117,1559849,0,0,1056
"37037",1,"1021",73,0,2013,1,"","Chatham County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,77,72,73,900104,0,0,936
"37037",1,"1021",73,0,2013,2,"","Chatham County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,71,69,72,776157,0,0,845
"37037",1,"1021",73,0,2013,3,"","Chatham County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,70,74,74,908084,0,0,961
"37037",1,"1024",73,0,2013,1,"","Chatham County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,10,10,178403,0,0,1287
"37037",1,"1024",73,0,2013,2,"","Chatham County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,12,207482,0,0,1408
"37037",1,"1024",73,0,2013,3,"","Chatham County, North Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,11,12,180707,0,0,1191
"37037",1,"1028",73,0,2013,1,"","Chatham County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,36,31,31,443498,0,0,1044
"37037",1,"1028",73,0,2013,2,"","Chatham County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,31,31,30,506978,0,0,1272
"37037",1,"1028",73,0,2013,3,"","Chatham County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,29,28,31,471058,0,0,1235
"37037",1,"22",74,0,2013,1,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,47390,0,0,911
"37037",1,"22",74,0,2013,2,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,50199,0,0,965
"37037",1,"22",74,0,2013,3,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,52872,0,0,1017
"37037",1,"221",75,0,2013,1,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,47390,0,0,911
"37037",1,"221",75,0,2013,2,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,50199,0,0,965
"37037",1,"221",75,0,2013,3,"","Chatham County, North Carolina","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,52872,0,0,1017
"37037",1,"2211",76,0,2013,1,"","Chatham County, North Carolina","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,47390,0,0,911
"37037",1,"2211",76,0,2013,2,"","Chatham County, North Carolina","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,50199,0,0,965
"37037",1,"2211",76,0,2013,3,"","Chatham County, North Carolina","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,52872,0,0,1017
"37037",1,"22111",77,0,2013,1,"","Chatham County, North Carolina","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,47390,0,0,911
"37037",1,"22111",77,0,2013,2,"","Chatham County, North Carolina","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,50199,0,0,965
"37037",1,"22111",77,0,2013,3,"","Chatham County, North Carolina","Federal Government","Electric power generation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,52872,0,0,1017
"37037",1,"221111",78,0,2013,1,"","Chatham County, North Carolina","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,47390,0,0,911
"37037",1,"221111",78,0,2013,2,"","Chatham County, North Carolina","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,50199,0,0,965
"37037",1,"221111",78,0,2013,3,"","Chatham County, North Carolina","Federal Government","Hydroelectric power generation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,52872,0,0,1017
"37037",1,"48-49",74,0,2013,1,"","Chatham County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,73,68,69,852714,0,0,937
"37037",1,"48-49",74,0,2013,2,"","Chatham County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,67,65,68,725958,0,0,838
"37037",1,"48-49",74,0,2013,3,"","Chatham County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,66,70,70,855212,0,0,958
"37037",1,"491",75,0,2013,1,"","Chatham County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,73,68,69,852714,0,0,937
"37037",1,"491",75,0,2013,2,"","Chatham County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,67,65,68,725958,0,0,838
"37037",1,"491",75,0,2013,3,"","Chatham County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,66,70,70,855212,0,0,958
