"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37061",0,"10",70,0,2013,1,"","Duplin County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1136,19345,19473,19623,151846859,107613265,2166345,600
"37061",0,"10",70,0,2013,2,"","Duplin County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1135,19856,20495,19993,154465084,93624935,1882537,591
"37061",0,"10",70,0,2013,3,"","Duplin County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1130,19468,19952,20150,151427394,72104567,1238821,587
"37061",1,"10",71,0,2013,1,"","Duplin County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,136,135,134,1941774,0,0,1106
"37061",1,"10",71,0,2013,2,"","Duplin County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,134,133,129,1920543,0,0,1119
"37061",1,"10",71,0,2013,3,"","Duplin County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,138,138,136,2061754,0,0,1155
"37061",1,"102",72,0,2013,1,"","Duplin County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,136,135,134,1941774,0,0,1106
"37061",1,"102",72,0,2013,2,"","Duplin County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,134,133,129,1920543,0,0,1119
"37061",1,"102",72,0,2013,3,"","Duplin County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,138,138,136,2061754,0,0,1155
"37061",1,"1021",73,0,2013,1,"","Duplin County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"1021",73,0,2013,2,"","Duplin County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"1021",73,0,2013,3,"","Duplin County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"1028",73,0,2013,1,"","Duplin County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,67,70,68,1024670,0,0,1153
"37061",1,"1028",73,0,2013,2,"","Duplin County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,67,67,63,1132841,0,0,1327
"37061",1,"1028",73,0,2013,3,"","Duplin County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,68,71,70,1181920,0,0,1305
"37061",1,"48-49",74,0,2013,1,"","Duplin County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"48-49",74,0,2013,2,"","Duplin County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"48-49",74,0,2013,3,"","Duplin County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"491",75,0,2013,1,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"491",75,0,2013,2,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"491",75,0,2013,3,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"4911",76,0,2013,1,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"4911",76,0,2013,2,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"4911",76,0,2013,3,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"49111",77,0,2013,1,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"49111",77,0,2013,2,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"49111",77,0,2013,3,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"491110",78,0,2013,1,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,69,65,66,917104,0,0,1058
"37061",1,"491110",78,0,2013,2,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,67,66,66,787702,0,0,913
"37061",1,"491110",78,0,2013,3,"","Duplin County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,70,67,66,879834,0,0,1000
"37061",1,"92",74,0,2013,1,"","Duplin County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,67,70,68,1024670,0,0,1153
"37061",1,"92",74,0,2013,2,"","Duplin County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,67,67,63,1132841,0,0,1327
"37061",1,"92",74,0,2013,3,"","Duplin County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,68,71,70,1181920,0,0,1305
"37061",1,"924",75,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,7,7,89033,0,0,978
"37061",1,"924",75,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,7,7,103947,0,0,1142
"37061",1,"924",75,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,9,11,104368,0,0,892
"37061",1,"9241",76,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,7,7,89033,0,0,978
"37061",1,"9241",76,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,7,7,103947,0,0,1142
"37061",1,"9241",76,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,9,11,104368,0,0,892
"37061",1,"92412",77,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,7,7,89033,0,0,978
"37061",1,"92412",77,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,7,7,103947,0,0,1142
"37061",1,"92412",77,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,9,11,104368,0,0,892
"37061",1,"924120",78,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,7,7,89033,0,0,978
"37061",1,"924120",78,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,7,7,103947,0,0,1142
"37061",1,"924120",78,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,9,11,104368,0,0,892
"37061",1,"926",75,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,60,63,61,935637,0,0,1173
"37061",1,"926",75,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,60,60,56,1028894,0,0,1349
"37061",1,"926",75,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,61,62,59,1077552,0,0,1366
"37061",1,"9261",76,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,60,63,61,935637,0,0,1173
"37061",1,"9261",76,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,60,60,56,1028894,0,0,1349
"37061",1,"9261",76,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,61,62,59,1077552,0,0,1366
"37061",1,"92611",77,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,10,9,57285,0,0,472
"37061",1,"92611",77,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,7,7,63971,0,0,703
"37061",1,"92611",77,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,9,9,70245,0,0,623
"37061",1,"926110",78,0,2013,1,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,10,9,57285,0,0,472
"37061",1,"926110",78,0,2013,2,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,7,7,63971,0,0,703
"37061",1,"926110",78,0,2013,3,"","Duplin County, North Carolina","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,9,9,70245,0,0,623
"37061",1,"92614",77,0,2013,1,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,51,53,52,878352,0,0,1299
"37061",1,"92614",77,0,2013,2,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,53,53,49,964923,0,0,1437
"37061",1,"92614",77,0,2013,3,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,53,53,50,1007307,0,0,1490
"37061",1,"926140",78,0,2013,1,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,51,53,52,878352,0,0,1299
"37061",1,"926140",78,0,2013,2,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,53,53,49,964923,0,0,1437
"37061",1,"926140",78,0,2013,3,"","Duplin County, North Carolina","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,53,53,50,1007307,0,0,1490
"37061",2,"10",71,0,2013,1,"","Duplin County, North Carolina","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,473,513,527,4537882,0,0,692
"37061",2,"10",71,0,2013,2,"","Duplin County, North Carolina","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,528,520,463,4304614,0,0,657
"37061",2,"10",71,0,2013,3,"","Duplin County, North Carolina","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,413,409,425,3803544,1419105,14190,704
"37061",2,"102",72,0,2013,1,"","Duplin County, North Carolina","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,473,513,527,4537882,0,0,692
"37061",2,"102",72,0,2013,2,"","Duplin County, North Carolina","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,528,520,463,4304614,0,0,657
"37061",2,"102",72,0,2013,3,"","Duplin County, North Carolina","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,413,409,425,3803544,1419105,14190,704
"37061",2,"1024",73,0,2013,1,"N","Duplin County, North Carolina","State Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"1024",73,0,2013,2,"N","Duplin County, North Carolina","State Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"1024",73,0,2013,3,"N","Duplin County, North Carolina","State Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"1025",73,0,2013,1,"N","Duplin County, North Carolina","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"1025",73,0,2013,2,"N","Duplin County, North Carolina","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"1025",73,0,2013,3,"N","Duplin County, North Carolina","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"1028",73,0,2013,1,"","Duplin County, North Carolina","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,249,252,252,2575648,0,0,789
"37061",2,"1028",73,0,2013,2,"","Duplin County, North Carolina","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,255,250,249,2443551,0,0,748
"37061",2,"1028",73,0,2013,3,"","Duplin County, North Carolina","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,182,176,172,1923158,897293,8972,837
"37061",2,"56",74,0,2013,1,"N","Duplin County, North Carolina","State Government","Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"56",74,0,2013,2,"N","Duplin County, North Carolina","State Government","Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"56",74,0,2013,3,"N","Duplin County, North Carolina","State Government","Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561",75,0,2013,1,"N","Duplin County, North Carolina","State Government","Administrative and support services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561",75,0,2013,2,"N","Duplin County, North Carolina","State Government","Administrative and support services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561",75,0,2013,3,"N","Duplin County, North Carolina","State Government","Administrative and support services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"5613",76,0,2013,1,"N","Duplin County, North Carolina","State Government","Employment services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"5613",76,0,2013,2,"N","Duplin County, North Carolina","State Government","Employment services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"5613",76,0,2013,3,"N","Duplin County, North Carolina","State Government","Employment services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"56131",77,0,2013,1,"N","Duplin County, North Carolina","State Government","Employment placement and executive search","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"56131",77,0,2013,2,"N","Duplin County, North Carolina","State Government","Employment placement and executive search","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"56131",77,0,2013,3,"N","Duplin County, North Carolina","State Government","Employment placement and executive search","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561311",78,0,2013,1,"N","Duplin County, North Carolina","State Government","Employment placement agencies","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561311",78,0,2013,2,"N","Duplin County, North Carolina","State Government","Employment placement agencies","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"561311",78,0,2013,3,"N","Duplin County, North Carolina","State Government","Employment placement agencies","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"37061",2,"61",74,0,2013,1,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"61",74,0,2013,2,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"61",74,0,2013,3,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"611",75,0,2013,1,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"611",75,0,2013,2,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"37061",2,"611",75,0,2013,3,"N","Duplin County, North Carolina","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
