"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"37123",0,"10",70,0,2013,1,"","Montgomery County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",523,8907,8910,9003,69870797,48936190,1340863,601
"37123",0,"10",70,0,2013,2,"","Montgomery County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",514,9074,9125,9216,71662150,38703264,1031345,603
"37123",0,"10",70,0,2013,3,"","Montgomery County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",512,8621,9009,9117,69258081,31906729,735280,598
"37123",1,"10",71,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,48,49,50,658195,0,0,1033
"37123",1,"10",71,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,46,48,611925,0,0,1002
"37123",1,"10",71,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,46,49,48,676297,0,0,1091
"37123",1,"102",72,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,48,49,50,658195,0,0,1033
"37123",1,"102",72,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,46,48,611925,0,0,1002
"37123",1,"102",72,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,46,49,48,676297,0,0,1091
"37123",1,"1021",73,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"1021",73,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"1021",73,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"1028",73,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,15,210115,0,0,1128
"37123",1,"1028",73,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,14,236317,0,0,1363
"37123",1,"1028",73,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,12,229728,0,0,1395
"37123",1,"48-49",74,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"48-49",74,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"48-49",74,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"491",75,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"491",75,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"491",75,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"4911",76,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"4911",76,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"4911",76,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"49111",77,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"49111",77,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"49111",77,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"491110",78,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,34,35,35,448080,0,0,994
"37123",1,"491110",78,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,34,33,34,375608,0,0,858
"37123",1,"491110",78,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,33,36,36,446569,0,0,981
"37123",1,"92",74,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,14,14,15,210115,0,0,1128
"37123",1,"92",74,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,13,14,236317,0,0,1363
"37123",1,"92",74,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,13,12,229728,0,0,1395
"37123",1,"924",75,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,14,15,210115,0,0,1128
"37123",1,"924",75,0,2013,2,"","Montgomery County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,14,236317,0,0,1363
"37123",1,"924",75,0,2013,3,"","Montgomery County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,12,229728,0,0,1395
"37123",1,"9241",76,0,2013,1,"","Montgomery County, North Carolina","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,14,15,210115,0,0,1128
