"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"38049",0,"10",70,0,2013,1,"","McHenry County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",200,1248,1251,1277,11183202,7402922,43069,683
"38049",0,"10",70,0,2013,2,"","McHenry County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",193,1295,1386,1405,12608735,7322712,68389,712
"38049",0,"10",70,0,2013,3,"","McHenry County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",192,1222,1210,1390,12020231,5269030,54644,726
"38049",1,"10",71,0,2013,1,"","McHenry County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,49,49,47,551873,0,0,878
"38049",1,"10",71,0,2013,2,"","McHenry County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,55,50,54,577840,0,0,839
"38049",1,"10",71,0,2013,3,"","McHenry County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,55,55,50,578844,0,0,835
"38049",1,"102",72,0,2013,1,"","McHenry County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,49,49,47,551873,0,0,878
"38049",1,"102",72,0,2013,2,"","McHenry County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,55,50,54,577840,0,0,839
"38049",1,"102",72,0,2013,3,"","McHenry County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,55,55,50,578844,0,0,835
"38049",1,"1021",73,0,2013,1,"","McHenry County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,20,21,19,187949,0,0,723
"38049",1,"1021",73,0,2013,2,"","McHenry County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,23,19,21,159319,0,0,584
"38049",1,"1021",73,0,2013,3,"","McHenry County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,22,19,19,164056,0,0,631
"38049",1,"1028",73,0,2013,1,"","McHenry County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,29,28,28,363924,0,0,988
"38049",1,"1028",73,0,2013,2,"","McHenry County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,32,31,33,418521,0,0,1006
"38049",1,"1028",73,0,2013,3,"","McHenry County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,33,36,31,414788,0,0,957
"38049",1,"48-49",74,0,2013,1,"","McHenry County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,20,21,19,187949,0,0,723
"38049",1,"48-49",74,0,2013,2,"","McHenry County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,23,19,21,159319,0,0,584
"38049",1,"48-49",74,0,2013,3,"","McHenry County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,22,19,19,164056,0,0,631
"38049",1,"491",75,0,2013,1,"","McHenry County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,20,21,19,187949,0,0,723
