"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"39057",0,"10",70,0,2013,1,"","Greene County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3265,66867,67297,67472,843320561,239026976,6198014,965
"39057",0,"10",70,0,2013,2,"","Greene County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3275,67999,68482,68019,813274340,79033433,1738698,918
"39057",0,"10",70,0,2013,3,"","Greene County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",3255,67476,67619,67869,839493019,48211303,1119805,955
"39057",1,"10",71,0,2013,1,"","Greene County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,13750,13803,13791,310649953,0,0,1734
"39057",1,"10",71,0,2013,2,"","Greene County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",45,13783,13753,13724,264755669,0,0,1481
"39057",1,"10",71,0,2013,3,"","Greene County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,13716,13654,13612,286173556,0,0,1611
"39057",1,"102",72,0,2013,1,"","Greene County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,13750,13803,13791,310649953,0,0,1734
"39057",1,"102",72,0,2013,2,"","Greene County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,13783,13753,13724,264755669,0,0,1481
"39057",1,"102",72,0,2013,3,"","Greene County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,13716,13654,13612,286173556,0,0,1611
"39057",1,"1021",73,0,2013,1,"","Greene County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,364,352,349,5022291,0,0,1088
"39057",1,"1021",73,0,2013,2,"","Greene County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,361,354,350,4195919,0,0,909
"39057",1,"1021",73,0,2013,3,"","Greene County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,356,351,354,4809398,0,0,1046
"39057",1,"1022",73,0,2013,1,"","Greene County, Ohio","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,6,35525,0,0,512
"39057",1,"1022",73,0,2013,2,"","Greene County, Ohio","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,6,1,1,43710,0,0,1261
"39057",1,"1022",73,0,2013,3,"","Greene County, Ohio","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,11164,0,0,859
"39057",1,"1024",73,0,2013,1,"","Greene County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,19,21,21,106492,0,0,403
"39057",1,"1024",73,0,2013,2,"","Greene County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,22,21,21,133345,0,0,481
"39057",1,"1024",73,0,2013,3,"","Greene County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,21,20,22,111050,0,0,407
"39057",1,"1025",73,0,2013,1,"","Greene County, Ohio","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,162,160,161,774307,0,0,370
"39057",1,"1025",73,0,2013,2,"","Greene County, Ohio","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,162,161,164,1003733,0,0,476
"39057",1,"1025",73,0,2013,3,"","Greene County, Ohio","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,159,152,151,803945,0,0,402
"39057",1,"1026",73,0,2013,1,"","Greene County, Ohio","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,247,251,256,1073966,0,0,329
"39057",1,"1026",73,0,2013,2,"","Greene County, Ohio","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,278,281,269,1397541,0,0,390
"39057",1,"1026",73,0,2013,3,"","Greene County, Ohio","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,264,260,255,1162692,0,0,344
"39057",1,"1027",73,0,2013,1,"","Greene County, Ohio","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",2,2,3,4,21761,0,0,558
