"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"39067",0,"10",70,0,2013,1,"","Harrison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",334,3466,3651,3656,31379481,15949987,512004,672
"39067",0,"10",70,0,2013,2,"","Harrison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",334,3778,3910,4015,36267539,7549216,289989,715
"39067",0,"10",70,0,2013,3,"","Harrison County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",338,3916,3888,4149,39483444,5912364,287231,762
"39067",1,"10",71,0,2013,1,"","Harrison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,51,48,48,600472,0,0,943
"39067",1,"10",71,0,2013,2,"","Harrison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,48,51,56,565156,0,0,841
"39067",1,"10",71,0,2013,3,"","Harrison County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,46,45,46,599142,0,0,1009
"39067",1,"102",72,0,2013,1,"","Harrison County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,51,48,48,600472,0,0,943
"39067",1,"102",72,0,2013,2,"","Harrison County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,48,51,56,565156,0,0,841
"39067",1,"102",72,0,2013,3,"","Harrison County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,46,45,46,599142,0,0,1009
"39067",1,"1021",73,0,2013,1,"","Harrison County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"1021",73,0,2013,2,"","Harrison County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"1021",73,0,2013,3,"","Harrison County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"1024",73,0,2013,1,"","Harrison County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"1024",73,0,2013,2,"","Harrison County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"1024",73,0,2013,3,"","Harrison County, Ohio","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"1028",73,0,2013,1,"","Harrison County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,6,6,80872,0,0,848
"39067",1,"1028",73,0,2013,2,"","Harrison County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,12,94060,0,0,904
"39067",1,"1028",73,0,2013,3,"","Harrison County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,7,112694,0,0,1369
"39067",1,"48-49",74,0,2013,1,"","Harrison County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"48-49",74,0,2013,2,"","Harrison County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"48-49",74,0,2013,3,"","Harrison County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"491",75,0,2013,1,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"491",75,0,2013,2,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"491",75,0,2013,3,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"4911",76,0,2013,1,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"4911",76,0,2013,2,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"4911",76,0,2013,3,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"49111",77,0,2013,1,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"49111",77,0,2013,2,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"49111",77,0,2013,3,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"491110",78,0,2013,1,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,34,35,35,434386,0,0,964
"39067",1,"491110",78,0,2013,2,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,35,38,38,378755,0,0,787
"39067",1,"491110",78,0,2013,3,"","Harrison County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,34,34,34,424865,0,0,961
"39067",1,"54",74,0,2013,1,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"54",74,0,2013,2,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"54",74,0,2013,3,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"541",75,0,2013,1,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"541",75,0,2013,2,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"541",75,0,2013,3,"","Harrison County, Ohio","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"5413",76,0,2013,1,"","Harrison County, Ohio","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"5413",76,0,2013,2,"","Harrison County, Ohio","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"5413",76,0,2013,3,"","Harrison County, Ohio","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"54133",77,0,2013,1,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"54133",77,0,2013,2,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"54133",77,0,2013,3,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"541330",78,0,2013,1,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,85214,0,0,936
"39067",1,"541330",78,0,2013,2,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,6,92341,0,0,1065
"39067",1,"541330",78,0,2013,3,"","Harrison County, Ohio","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,5,5,61583,0,0,888
"39067",1,"92",74,0,2013,1,"","Harrison County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,6,6,80872,0,0,848
"39067",1,"92",74,0,2013,2,"","Harrison County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,12,94060,0,0,904
"39067",1,"92",74,0,2013,3,"","Harrison County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,7,112694,0,0,1369
"39067",1,"924",75,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,42245,0,0,1083
"39067",1,"924",75,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,49374,0,0,1266
"39067",1,"924",75,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,4,67944,0,0,1568
"39067",1,"9241",76,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,42245,0,0,1083
"39067",1,"9241",76,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,49374,0,0,1266
"39067",1,"9241",76,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,4,67944,0,0,1568
"39067",1,"92412",77,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,42245,0,0,1083
"39067",1,"92412",77,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,49374,0,0,1266
"39067",1,"92412",77,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,4,67944,0,0,1568
"39067",1,"924120",78,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,42245,0,0,1083
"39067",1,"924120",78,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,49374,0,0,1266
"39067",1,"924120",78,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,4,67944,0,0,1568
"39067",1,"926",75,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,3,3,38627,0,0,686
"39067",1,"926",75,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,9,44686,0,0,687
"39067",1,"926",75,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,44750,0,0,1147
"39067",1,"9261",76,0,2013,1,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,3,3,38627,0,0,686
"39067",1,"9261",76,0,2013,2,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,9,44686,0,0,687
"39067",1,"9261",76,0,2013,3,"","Harrison County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,44750,0,0,1147
"39067",1,"92614",77,0,2013,1,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,3,3,38627,0,0,686
"39067",1,"92614",77,0,2013,2,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,9,44686,0,0,687
"39067",1,"92614",77,0,2013,3,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,44750,0,0,1147
"39067",1,"926140",78,0,2013,1,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,3,3,38627,0,0,686
"39067",1,"926140",78,0,2013,2,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,9,44686,0,0,687
"39067",1,"926140",78,0,2013,3,"","Harrison County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,44750,0,0,1147
"39067",1,"928",75,0,2013,1,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"928",75,0,2013,2,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"928",75,0,2013,3,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"9281",76,0,2013,1,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"9281",76,0,2013,2,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"9281",76,0,2013,3,"","Harrison County, Ohio","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"92811",77,0,2013,1,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"92811",77,0,2013,2,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"92811",77,0,2013,3,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"928110",78,0,2013,1,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"928110",78,0,2013,2,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",1,"928110",78,0,2013,3,"","Harrison County, Ohio","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"10",71,0,2013,1,"","Harrison County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,46,46,45,541541,0,0,912
"39067",2,"10",71,0,2013,2,"","Harrison County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,46,46,51,594411,0,0,959
"39067",2,"10",71,0,2013,3,"","Harrison County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,51,46,45,536948,0,0,873
"39067",2,"102",72,0,2013,1,"","Harrison County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,46,46,45,541541,0,0,912
"39067",2,"102",72,0,2013,2,"","Harrison County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,46,46,51,594411,0,0,959
"39067",2,"102",72,0,2013,3,"","Harrison County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,51,46,45,536948,0,0,873
"39067",2,"1028",73,0,2013,1,"","Harrison County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,46,46,45,541541,0,0,912
"39067",2,"1028",73,0,2013,2,"","Harrison County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,46,46,51,594411,0,0,959
"39067",2,"1028",73,0,2013,3,"","Harrison County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,51,46,45,536948,0,0,873
"39067",2,"92",74,0,2013,1,"","Harrison County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,46,46,45,541541,0,0,912
"39067",2,"92",74,0,2013,2,"","Harrison County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,46,46,51,594411,0,0,959
"39067",2,"92",74,0,2013,3,"","Harrison County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,51,46,45,536948,0,0,873
"39067",2,"922",75,0,2013,1,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"922",75,0,2013,2,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"922",75,0,2013,3,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"9221",76,0,2013,1,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"9221",76,0,2013,2,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"9221",76,0,2013,3,"N","Harrison County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"92211",77,0,2013,1,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"92211",77,0,2013,2,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"92211",77,0,2013,3,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"922110",78,0,2013,1,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"922110",78,0,2013,2,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"922110",78,0,2013,3,"N","Harrison County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"924",75,0,2013,1,"N","Harrison County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"924",75,0,2013,2,"N","Harrison County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"924",75,0,2013,3,"N","Harrison County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39067",2,"9241",76,0,2013,1,"N","Harrison County, Ohio","State Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
