"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"39137",0,"10",70,0,2013,1,"","Putnam County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",812,11017,10978,11057,96065765,55492978,1306062,671
"39137",0,"10",70,0,2013,2,"","Putnam County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",808,11344,11759,11599,93827985,16779102,464705,624
"39137",0,"10",70,0,2013,3,"","Putnam County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",812,11517,11648,11543,95567626,9718151,266475,635
"39137",1,"10",71,0,2013,1,"","Putnam County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,73,66,68,840395,0,0,937
"39137",1,"10",71,0,2013,2,"","Putnam County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,67,63,67,690548,0,0,809
"39137",1,"10",71,0,2013,3,"","Putnam County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,67,74,69,829903,0,0,912
"39137",1,"102",72,0,2013,1,"","Putnam County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,73,66,68,840395,0,0,937
"39137",1,"102",72,0,2013,2,"","Putnam County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,67,63,67,690548,0,0,809
"39137",1,"102",72,0,2013,3,"","Putnam County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,67,74,69,829903,0,0,912
"39137",1,"1021",73,0,2013,1,"","Putnam County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"1021",73,0,2013,2,"","Putnam County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"1021",73,0,2013,3,"","Putnam County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"1028",73,0,2013,1,"","Putnam County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,7,7,89477,0,0,826
"39137",1,"1028",73,0,2013,2,"","Putnam County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,9,76938,0,0,934
"39137",1,"1028",73,0,2013,3,"","Putnam County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,9,5,76159,0,0,925
"39137",1,"48-49",74,0,2013,1,"","Putnam County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"48-49",74,0,2013,2,"","Putnam County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"48-49",74,0,2013,3,"","Putnam County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"491",75,0,2013,1,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"491",75,0,2013,2,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"491",75,0,2013,3,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"4911",76,0,2013,1,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"4911",76,0,2013,2,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"4911",76,0,2013,3,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"49111",77,0,2013,1,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"49111",77,0,2013,2,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"49111",77,0,2013,3,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"491110",78,0,2013,1,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,62,59,61,750918,0,0,952
"39137",1,"491110",78,0,2013,2,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,62,58,58,613610,0,0,796
"39137",1,"491110",78,0,2013,3,"","Putnam County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,62,65,64,753744,0,0,911
"39137",1,"92",74,0,2013,1,"","Putnam County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,11,7,7,89477,0,0,826
"39137",1,"92",74,0,2013,2,"","Putnam County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,5,9,76938,0,0,934
"39137",1,"92",74,0,2013,3,"","Putnam County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,9,5,76159,0,0,925
"39137",1,"924",75,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20573,0,0,1583
"39137",1,"924",75,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"924",75,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"9241",76,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20573,0,0,1583
"39137",1,"9241",76,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"9241",76,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"92412",77,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20573,0,0,1583
"39137",1,"92412",77,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"92412",77,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"924120",78,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20573,0,0,1583
"39137",1,"924120",78,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"924120",78,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",1,"926",75,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,6,6,68904,0,0,723
"39137",1,"926",75,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,9,76938,0,0,934
"39137",1,"926",75,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,9,5,76159,0,0,925
"39137",1,"9261",76,0,2013,1,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,6,6,68904,0,0,723
"39137",1,"9261",76,0,2013,2,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,9,76938,0,0,934
"39137",1,"9261",76,0,2013,3,"","Putnam County, Ohio","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,9,5,76159,0,0,925
"39137",1,"92614",77,0,2013,1,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,6,6,68904,0,0,723
"39137",1,"92614",77,0,2013,2,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,9,76938,0,0,934
"39137",1,"92614",77,0,2013,3,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,9,5,76159,0,0,925
"39137",1,"926140",78,0,2013,1,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,6,6,68904,0,0,723
"39137",1,"926140",78,0,2013,2,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,9,76938,0,0,934
"39137",1,"926140",78,0,2013,3,"","Putnam County, Ohio","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,9,5,76159,0,0,925
"39137",2,"10",71,0,2013,1,"","Putnam County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,36,36,37,405744,0,0,859
"39137",2,"10",71,0,2013,2,"","Putnam County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,37,41,454676,0,0,920
"39137",2,"10",71,0,2013,3,"","Putnam County, Ohio","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,42,39,36,405367,0,0,800
"39137",2,"102",72,0,2013,1,"","Putnam County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,36,36,37,405744,0,0,859
"39137",2,"102",72,0,2013,2,"","Putnam County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,37,41,454676,0,0,920
"39137",2,"102",72,0,2013,3,"","Putnam County, Ohio","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,42,39,36,405367,0,0,800
"39137",2,"1025",73,0,2013,1,"N","Putnam County, Ohio","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"1025",73,0,2013,2,"N","Putnam County, Ohio","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"1025",73,0,2013,3,"N","Putnam County, Ohio","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"1028",73,0,2013,1,"N","Putnam County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0
"39137",2,"1028",73,0,2013,2,"N","Putnam County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0
"39137",2,"1028",73,0,2013,3,"N","Putnam County, Ohio","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0
"39137",2,"62",74,0,2013,1,"N","Putnam County, Ohio","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"62",74,0,2013,2,"N","Putnam County, Ohio","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"62",74,0,2013,3,"N","Putnam County, Ohio","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621",75,0,2013,1,"N","Putnam County, Ohio","State Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621",75,0,2013,2,"N","Putnam County, Ohio","State Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621",75,0,2013,3,"N","Putnam County, Ohio","State Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"6211",76,0,2013,1,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"6211",76,0,2013,2,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"6211",76,0,2013,3,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"62111",77,0,2013,1,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"62111",77,0,2013,2,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"62111",77,0,2013,3,"N","Putnam County, Ohio","State Government","Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621111",78,0,2013,1,"N","Putnam County, Ohio","State Government","Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621111",78,0,2013,2,"N","Putnam County, Ohio","State Government","Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"621111",78,0,2013,3,"N","Putnam County, Ohio","State Government","Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92",74,0,2013,1,"N","Putnam County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0
"39137",2,"92",74,0,2013,2,"N","Putnam County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0
"39137",2,"92",74,0,2013,3,"N","Putnam County, Ohio","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0
"39137",2,"922",75,0,2013,1,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"922",75,0,2013,2,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"922",75,0,2013,3,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"9221",76,0,2013,1,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"9221",76,0,2013,2,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"9221",76,0,2013,3,"N","Putnam County, Ohio","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"92211",77,0,2013,1,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92211",77,0,2013,2,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92211",77,0,2013,3,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922110",78,0,2013,1,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922110",78,0,2013,2,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922110",78,0,2013,3,"N","Putnam County, Ohio","State Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92214",77,0,2013,1,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92214",77,0,2013,2,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92214",77,0,2013,3,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922140",78,0,2013,1,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922140",78,0,2013,2,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"922140",78,0,2013,3,"N","Putnam County, Ohio","State Government","Correctional institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"923",75,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"923",75,0,2013,2,"-","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"923",75,0,2013,3,"-","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"9231",76,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"9231",76,0,2013,2,"-","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"9231",76,0,2013,3,"-","Putnam County, Ohio","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"92311",77,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92311",77,0,2013,2,"-","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"92311",77,0,2013,3,"-","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"923110",78,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"923110",78,0,2013,2,"-","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"923110",78,0,2013,3,"-","Putnam County, Ohio","State Government","Administration of education programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0
"39137",2,"924",75,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"924",75,0,2013,2,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"924",75,0,2013,3,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"9241",76,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"9241",76,0,2013,2,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"9241",76,0,2013,3,"N","Putnam County, Ohio","State Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92412",77,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92412",77,0,2013,2,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92412",77,0,2013,3,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"924120",78,0,2013,1,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"924120",78,0,2013,2,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"924120",78,0,2013,3,"N","Putnam County, Ohio","State Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"926",75,0,2013,1,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,28,28,29,278120,0,0,755
"39137",2,"926",75,0,2013,2,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,28,29,33,314175,0,0,806
"39137",2,"926",75,0,2013,3,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,34,31,28,276365,0,0,686
"39137",2,"9261",76,0,2013,1,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,28,28,29,278120,0,0,755
"39137",2,"9261",76,0,2013,2,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,28,29,33,314175,0,0,806
"39137",2,"9261",76,0,2013,3,"","Putnam County, Ohio","State Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,34,31,28,276365,0,0,686
"39137",2,"92612",77,0,2013,1,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92612",77,0,2013,2,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92612",77,0,2013,3,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"926120",78,0,2013,1,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"926120",78,0,2013,2,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"926120",78,0,2013,3,"N","Putnam County, Ohio","State Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"39137",2,"92614",77,0,2013,1,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"92614",77,0,2013,2,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"92614",77,0,2013,3,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"926140",78,0,2013,1,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"926140",78,0,2013,2,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",2,"926140",78,0,2013,3,"N","Putnam County, Ohio","State Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"39137",3,"10",71,0,2013,1,"","Putnam County, Ohio","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",74,1624,1643,1628,12723871,164921,1935,600
"39137",3,"10",71,0,2013,2,"","Putnam County, Ohio","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",73,1642,1719,1460,12970856,30772,286,621
