"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"41039",0,"10",70,0,2013,1,"","Lane County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10705,135349,136074,137045,1268106967,826766609,25706737,716
"41039",0,"10",70,0,2013,2,"","Lane County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10865,138367,139846,140962,1334188540,730658994,22932985,735
"41039",0,"10",70,0,2013,3,"","Lane County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",10975,136080,136987,139689,1300332225,570203136,17956635,727
"41039",1,"10",71,0,2013,1,"","Lane County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,1547,1537,1541,24361390,0,0,1216
"41039",1,"10",71,0,2013,2,"","Lane County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,1550,1562,1599,23978893,0,0,1175
"41039",1,"10",71,0,2013,3,"","Lane County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",71,1703,1690,1650,27638762,0,0,1265
"41039",1,"101",72,0,2013,1,"","Lane County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,240,236,245,3256693,0,0,1042
"41039",1,"101",72,0,2013,2,"","Lane County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,255,270,306,4075201,0,0,1132
"41039",1,"101",72,0,2013,3,"","Lane County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,408,388,355,6416447,0,0,1286
"41039",1,"1011",73,0,2013,1,"","Lane County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",6,240,236,245,3256693,0,0,1042
"41039",1,"1011",73,0,2013,2,"","Lane County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",6,255,270,306,4075201,0,0,1132
"41039",1,"1011",73,0,2013,3,"","Lane County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",6,408,388,355,6416447,0,0,1286
"41039",1,"102",72,0,2013,1,"","Lane County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,1307,1301,1296,21104697,0,0,1248
"41039",1,"102",72,0,2013,2,"","Lane County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,1295,1292,1293,19903692,0,0,1184
"41039",1,"102",72,0,2013,3,"","Lane County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,1295,1302,1295,21222315,0,0,1258
"41039",1,"1021",73,0,2013,1,"","Lane County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",35,647,644,626,9890212,0,0,1191
"41039",1,"1021",73,0,2013,2,"","Lane County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",35,630,628,627,8264209,0,0,1012
"41039",1,"1021",73,0,2013,3,"","Lane County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",35,632,625,622,9370996,0,0,1151
"41039",1,"1023",73,0,2013,1,"","Lane County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"41039",1,"1023",73,0,2013,2,"","Lane County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"41039",1,"1023",73,0,2013,3,"","Lane County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
