"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"45049",0,"10",70,0,2013,1,"","Hampton County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",378,4696,4713,4719,39532729,23279146,624991,646
"45049",0,"10",70,0,2013,2,"","Hampton County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",377,4779,4723,4728,41366434,10368034,246735,671
"45049",0,"10",70,0,2013,3,"","Hampton County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",379,4501,4652,4703,39697343,5213589,100965,661
"45049",1,"10",71,0,2013,1,"","Hampton County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,341,337,335,4990056,0,0,1137
"45049",1,"10",71,0,2013,2,"","Hampton County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,333,332,332,5517879,0,0,1277
"45049",1,"10",71,0,2013,3,"","Hampton County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,331,330,331,5465555,0,0,1271
"45049",1,"102",72,0,2013,1,"","Hampton County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,341,337,335,4990056,0,0,1137
"45049",1,"102",72,0,2013,2,"","Hampton County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,333,332,332,5517879,0,0,1277
"45049",1,"102",72,0,2013,3,"","Hampton County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,331,330,331,5465555,0,0,1271
"45049",1,"1021",73,0,2013,1,"","Hampton County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"1021",73,0,2013,2,"","Hampton County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"1021",73,0,2013,3,"","Hampton County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"1028",73,0,2013,1,"","Hampton County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,310,306,305,4640607,0,0,1163
"45049",1,"1028",73,0,2013,2,"","Hampton County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,303,301,302,5241143,0,0,1335
"45049",1,"1028",73,0,2013,3,"","Hampton County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,301,300,299,5144295,0,0,1319
"45049",1,"48-49",74,0,2013,1,"","Hampton County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"48-49",74,0,2013,2,"","Hampton County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"48-49",74,0,2013,3,"","Hampton County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"491",75,0,2013,1,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"491",75,0,2013,2,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"491",75,0,2013,3,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"4911",76,0,2013,1,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"4911",76,0,2013,2,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"4911",76,0,2013,3,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"49111",77,0,2013,1,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"49111",77,0,2013,2,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"49111",77,0,2013,3,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"491110",78,0,2013,1,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,31,31,30,349449,0,0,877
"45049",1,"491110",78,0,2013,2,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,30,31,30,276736,0,0,702
"45049",1,"491110",78,0,2013,3,"","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,30,30,32,321260,0,0,806
"45049",1,"92",74,0,2013,1,"","Hampton County, South Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,310,306,305,4640607,0,0,1163
"45049",1,"92",74,0,2013,2,"","Hampton County, South Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,303,301,302,5241143,0,0,1335
"45049",1,"92",74,0,2013,3,"","Hampton County, South Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,301,300,299,5144295,0,0,1319
"45049",1,"922",75,0,2013,1,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,281,280,279,4311775,0,0,1185
"45049",1,"922",75,0,2013,2,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,277,275,274,4875922,0,0,1362
"45049",1,"922",75,0,2013,3,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,274,272,268,4840580,0,0,1372
"45049",1,"9221",76,0,2013,1,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,281,280,279,4311775,0,0,1185
"45049",1,"9221",76,0,2013,2,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,277,275,274,4875922,0,0,1362
"45049",1,"9221",76,0,2013,3,"","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,274,272,268,4840580,0,0,1372
