"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46097",0,"10",70,0,2013,1,"","Miner County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",97,716,716,710,5263303,3272649,34349,567
"46097",0,"10",70,0,2013,2,"","Miner County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",97,712,733,742,5303701,1743656,12688,560
"46097",0,"10",70,0,2013,3,"","Miner County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",97,717,730,712,5593500,817481,5552,598
"46097",1,"10",71,0,2013,1,"","Miner County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,20,17,17,198660,0,0,849
"46097",1,"10",71,0,2013,2,"","Miner County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,17,18,17,187260,0,0,831
"46097",1,"10",71,0,2013,3,"","Miner County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,17,17,17,201165,0,0,910
"46097",1,"102",72,0,2013,1,"","Miner County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,20,17,17,198660,0,0,849
"46097",1,"102",72,0,2013,2,"","Miner County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,17,18,17,187260,0,0,831
"46097",1,"102",72,0,2013,3,"","Miner County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,17,17,17,201165,0,0,910
"46097",1,"1021",73,0,2013,1,"","Miner County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,11,117361,0,0,821
"46097",1,"1021",73,0,2013,2,"","Miner County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,11,12,11,94970,0,0,645
"46097",1,"1021",73,0,2013,3,"","Miner County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,11,106882,0,0,747
"46097",1,"1028",73,0,2013,1,"","Miner County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,6,6,81299,0,0,893
"46097",1,"1028",73,0,2013,2,"","Miner County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,92290,0,0,1183
"46097",1,"1028",73,0,2013,3,"","Miner County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,94283,0,0,1209
"46097",1,"48-49",74,0,2013,1,"","Miner County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,11,11,117361,0,0,821
"46097",1,"48-49",74,0,2013,2,"","Miner County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,12,11,94970,0,0,645
"46097",1,"48-49",74,0,2013,3,"","Miner County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,11,11,106882,0,0,747
"46097",1,"491",75,0,2013,1,"","Miner County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,11,11,117361,0,0,821
"46097",1,"491",75,0,2013,2,"","Miner County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,12,11,94970,0,0,645
