"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"46119",0,"10",70,0,2013,1,"","Sully County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",87,472,467,497,3547331,2362312,13233,570
"46119",0,"10",70,0,2013,2,"","Sully County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",87,477,555,610,3983550,1531741,13592,560
"46119",0,"10",70,0,2013,3,"","Sully County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",87,598,593,597,4535959,1132737,13696,585
"46119",1,"10",71,0,2013,1,"","Sully County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,8,14,86963,0,0,573
"46119",1,"10",71,0,2013,2,"","Sully County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,8,9,10,93893,0,0,803
"46119",1,"10",71,0,2013,3,"","Sully County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,8,9,12,96491,0,0,768
"46119",1,"102",72,0,2013,1,"","Sully County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,8,14,86963,0,0,573
"46119",1,"102",72,0,2013,2,"","Sully County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,8,9,10,93893,0,0,803
"46119",1,"102",72,0,2013,3,"","Sully County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,8,9,12,96491,0,0,768
"46119",1,"1021",73,0,2013,1,"","Sully County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,3,5,24107,0,0,464
"46119",1,"1021",73,0,2013,2,"","Sully County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,4,19228,0,0,444
"46119",1,"1021",73,0,2013,3,"","Sully County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,3,4,4,21424,0,0,449
"46119",1,"1028",73,0,2013,1,"","Sully County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,5,9,62856,0,0,631
"46119",1,"1028",73,0,2013,2,"","Sully County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,6,6,74665,0,0,1014
"46119",1,"1028",73,0,2013,3,"","Sully County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,8,75067,0,0,962
"46119",1,"48-49",74,0,2013,1,"","Sully County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,3,5,24107,0,0,464
"46119",1,"48-49",74,0,2013,2,"","Sully County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,3,4,19228,0,0,444
"46119",1,"48-49",74,0,2013,3,"","Sully County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,4,4,21424,0,0,449
"46119",1,"491",75,0,2013,1,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,3,5,24107,0,0,464
"46119",1,"491",75,0,2013,2,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,4,19228,0,0,444
"46119",1,"491",75,0,2013,3,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,4,4,21424,0,0,449
"46119",1,"4911",76,0,2013,1,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,3,5,24107,0,0,464
"46119",1,"4911",76,0,2013,2,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,3,4,19228,0,0,444
"46119",1,"4911",76,0,2013,3,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,4,4,21424,0,0,449
"46119",1,"49111",77,0,2013,1,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,3,5,24107,0,0,464
"46119",1,"49111",77,0,2013,2,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,3,4,19228,0,0,444
"46119",1,"49111",77,0,2013,3,"","Sully County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,4,4,21424,0,0,449
