"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"47173",0,"10",70,0,2013,1,"","Union County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",201,2218,2195,2204,14907123,11010525,217359,520
"47173",0,"10",70,0,2013,2,"","Union County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",204,2244,2279,2245,17125192,3793415,82678,584
"47173",0,"10",70,0,2013,3,"","Union County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",205,1832,1992,2223,14017293,2032655,25613,535
"47173",1,"10",71,0,2013,1,"","Union County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,21,21,21,251152,0,0,920
"47173",1,"10",71,0,2013,2,"","Union County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,22,22,22,222370,0,0,778
"47173",1,"10",71,0,2013,3,"","Union County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,22,22,23,258640,0,0,891
"47173",1,"102",72,0,2013,1,"","Union County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,21,21,21,251152,0,0,920
"47173",1,"102",72,0,2013,2,"","Union County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,22,22,22,222370,0,0,778
"47173",1,"102",72,0,2013,3,"","Union County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,22,22,23,258640,0,0,891
"47173",1,"1021",73,0,2013,1,"","Union County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,21,21,21,251152,0,0,920
"47173",1,"1021",73,0,2013,2,"","Union County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,22,22,222370,0,0,778
"47173",1,"1021",73,0,2013,3,"","Union County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,22,23,258640,0,0,891
"47173",1,"48-49",74,0,2013,1,"","Union County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,21,21,21,251152,0,0,920
"47173",1,"48-49",74,0,2013,2,"","Union County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,22,22,222370,0,0,778
"47173",1,"48-49",74,0,2013,3,"","Union County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,22,23,258640,0,0,891
