"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"47189",0,"10",70,0,2013,1,"","Wilson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2237,34059,34253,34443,325676231,189830504,5287160,731
"47189",0,"10",70,0,2013,2,"","Wilson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2275,34804,35394,35436,331917113,64878485,1699874,725
"47189",0,"10",70,0,2013,3,"","Wilson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2317,34585,35534,35556,367169181,41889941,516996,802
"47189",1,"10",71,0,2013,1,"","Wilson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,189,192,186,2794933,0,0,1138
"47189",1,"10",71,0,2013,2,"","Wilson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,193,189,182,2566956,0,0,1050
"47189",1,"10",71,0,2013,3,"","Wilson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,182,178,181,2873179,0,0,1226
"47189",1,"102",72,0,2013,1,"","Wilson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,189,192,186,2794933,0,0,1138
"47189",1,"102",72,0,2013,2,"","Wilson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,193,189,182,2566956,0,0,1050
"47189",1,"102",72,0,2013,3,"","Wilson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,182,178,181,2873179,0,0,1226
"47189",1,"1021",73,0,2013,1,"","Wilson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,152,149,145,2070915,0,0,1072
"47189",1,"1021",73,0,2013,2,"","Wilson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,152,145,143,1733042,0,0,909
"47189",1,"1021",73,0,2013,3,"","Wilson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,143,138,142,2031181,0,0,1108
"47189",1,"1024",73,0,2013,1,"","Wilson County, Tennessee","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,461296,0,0,1774
"47189",1,"1024",73,0,2013,2,"","Wilson County, Tennessee","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,515299,0,0,1982
"47189",1,"1024",73,0,2013,3,"","Wilson County, Tennessee","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,19,505270,0,0,2046
"47189",1,"1028",73,0,2013,1,"","Wilson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,17,23,21,262722,0,0,994
"47189",1,"1028",73,0,2013,2,"","Wilson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,21,24,19,318615,0,0,1149
"47189",1,"1028",73,0,2013,3,"","Wilson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,20,21,20,336728,0,0,1274
"47189",1,"22",74,0,2013,1,"","Wilson County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,2,2,46201,0,0,1523
"47189",1,"22",74,0,2013,2,"","Wilson County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,45491,0,0,1750
"47189",1,"22",74,0,2013,3,"","Wilson County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,40397,0,0,1554
"47189",1,"221",75,0,2013,1,"","Wilson County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,2,2,46201,0,0,1523
