"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"48073",0,"10",70,0,2013,1,"","Cherokee County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",828,14994,15110,15287,117284962,57793556,1247362,596
"48073",0,"10",70,0,2013,2,"","Cherokee County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",836,15278,15183,15059,121773658,25163244,514706,617
"48073",0,"10",70,0,2013,3,"","Cherokee County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",830,14706,14680,14882,118545572,13258816,273016,618
"48073",1,"10",71,0,2013,1,"","Cherokee County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,69,72,70,866662,0,0,948
"48073",1,"10",71,0,2013,2,"","Cherokee County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,69,70,70,776099,0,0,857
"48073",1,"10",71,0,2013,3,"","Cherokee County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,72,73,70,867646,0,0,931
"48073",1,"102",72,0,2013,1,"","Cherokee County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,69,72,70,866662,0,0,948
"48073",1,"102",72,0,2013,2,"","Cherokee County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,69,70,70,776099,0,0,857
"48073",1,"102",72,0,2013,3,"","Cherokee County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,72,73,70,867646,0,0,931
"48073",1,"1021",73,0,2013,1,"","Cherokee County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"1021",73,0,2013,2,"","Cherokee County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"1021",73,0,2013,3,"","Cherokee County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"1028",73,0,2013,1,"","Cherokee County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"1028",73,0,2013,2,"","Cherokee County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"1028",73,0,2013,3,"","Cherokee County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",1,"48-49",74,0,2013,1,"","Cherokee County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"48-49",74,0,2013,2,"","Cherokee County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"48-49",74,0,2013,3,"","Cherokee County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"491",75,0,2013,1,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"491",75,0,2013,2,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"491",75,0,2013,3,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"4911",76,0,2013,1,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"4911",76,0,2013,2,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"4911",76,0,2013,3,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"49111",77,0,2013,1,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"49111",77,0,2013,2,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"49111",77,0,2013,3,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"491110",78,0,2013,1,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,66,66,67,819570,0,0,950
"48073",1,"491110",78,0,2013,2,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,66,67,67,721348,0,0,832
"48073",1,"491110",78,0,2013,3,"","Cherokee County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,69,67,67,812703,0,0,924
"48073",1,"92",74,0,2013,1,"","Cherokee County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"92",74,0,2013,2,"","Cherokee County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"92",74,0,2013,3,"","Cherokee County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",1,"924",75,0,2013,1,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"924",75,0,2013,2,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"924",75,0,2013,3,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",1,"9241",76,0,2013,1,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"9241",76,0,2013,2,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"9241",76,0,2013,3,"","Cherokee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",1,"92412",77,0,2013,1,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"92412",77,0,2013,2,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"92412",77,0,2013,3,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",1,"924120",78,0,2013,1,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,6,3,47092,0,0,906
"48073",1,"924120",78,0,2013,2,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,3,3,54751,0,0,1404
"48073",1,"924120",78,0,2013,3,"","Cherokee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,6,3,54943,0,0,1057
"48073",2,"10",71,0,2013,1,"","Cherokee County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,1909,1902,1910,17206470,0,0,694
"48073",2,"10",71,0,2013,2,"","Cherokee County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,1925,1927,1932,17557784,0,0,701
"48073",2,"10",71,0,2013,3,"","Cherokee County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1874,1863,1861,17530160,0,0,723
"48073",2,"101",72,0,2013,1,"N","Cherokee County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"101",72,0,2013,2,"N","Cherokee County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"101",72,0,2013,3,"N","Cherokee County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"1012",73,0,2013,1,"N","Cherokee County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"1012",73,0,2013,2,"N","Cherokee County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"1012",73,0,2013,3,"N","Cherokee County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"48073",2,"102",72,0,2013,1,"N","Cherokee County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,0,0,0,0,0,0,0
"48073",2,"102",72,0,2013,2,"N","Cherokee County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,0,0,0,0,0,0,0
"48073",2,"102",72,0,2013,3,"N","Cherokee County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,0,0,0,0,0,0,0
"48073",2,"1025",73,0,2013,1,"","Cherokee County, Texas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",8,1183,1179,1184,10161205,0,0,661
