"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"49049",0,"10",70,0,2013,1,"","Utah County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13050,178709,179913,181334,1705353904,1166528280,16069949,729
"49049",0,"10",70,0,2013,2,"","Utah County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13234,184056,187007,187297,1778411540,914125055,13186088,735
"49049",0,"10",70,0,2013,3,"","Utah County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13458,185626,188710,190069,1831531518,688535246,10129105,749
"49049",1,"10",71,0,2013,1,"","Utah County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",37,889,883,863,13387869,0,0,1172
"49049",1,"10",71,0,2013,2,"","Utah County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,895,953,980,12696322,0,0,1036
"49049",1,"10",71,0,2013,3,"","Utah County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",36,970,961,944,13908551,0,0,1116
"49049",1,"102",72,0,2013,1,"","Utah County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",37,889,883,863,13387869,0,0,1172
"49049",1,"102",72,0,2013,2,"","Utah County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,895,953,980,12696322,0,0,1036
"49049",1,"102",72,0,2013,3,"","Utah County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,970,961,944,13908551,0,0,1116
"49049",1,"1021",73,0,2013,1,"","Utah County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"1021",73,0,2013,2,"","Utah County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"1021",73,0,2013,3,"","Utah County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"1023",73,0,2013,1,"","Utah County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"1023",73,0,2013,2,"","Utah County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"1023",73,0,2013,3,"","Utah County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"1024",73,0,2013,1,"","Utah County, Utah","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"1024",73,0,2013,2,"","Utah County, Utah","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"1024",73,0,2013,3,"","Utah County, Utah","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"1025",73,0,2013,1,"","Utah County, Utah","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,18,18,18,342991,0,0,1466
"49049",1,"1025",73,0,2013,2,"","Utah County, Utah","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,18,16,16,336053,0,0,1551
"49049",1,"1025",73,0,2013,3,"","Utah County, Utah","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,16,15,16,297096,0,0,1459
"49049",1,"1026",73,0,2013,1,"","Utah County, Utah","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,12,12,123769,0,0,772
"49049",1,"1026",73,0,2013,2,"","Utah County, Utah","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,14,50,56,259935,0,0,500
"49049",1,"1026",73,0,2013,3,"","Utah County, Utah","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,56,50,49,377920,0,0,563
"49049",1,"1028",73,0,2013,1,"","Utah County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,294,284,279,4272138,0,0,1150
"49049",1,"1028",73,0,2013,2,"","Utah County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,286,316,339,5069918,0,0,1243
"49049",1,"1028",73,0,2013,3,"","Utah County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,335,335,314,5135048,0,0,1204
"49049",1,"48-49",74,0,2013,1,"","Utah County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"48-49",74,0,2013,2,"","Utah County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"48-49",74,0,2013,3,"","Utah County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"491",75,0,2013,1,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"491",75,0,2013,2,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"491",75,0,2013,3,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"4911",76,0,2013,1,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"4911",76,0,2013,2,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"4911",76,0,2013,3,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"49111",77,0,2013,1,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"49111",77,0,2013,2,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"49111",77,0,2013,3,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"491110",78,0,2013,1,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,558,563,548,8552849,0,0,1183
"49049",1,"491110",78,0,2013,2,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,571,565,563,6917681,0,0,940
"49049",1,"491110",78,0,2013,3,"","Utah County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,557,555,559,7981778,0,0,1102
"49049",1,"52",74,0,2013,1,"","Utah County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"52",74,0,2013,2,"","Utah County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"52",74,0,2013,3,"","Utah County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"522",75,0,2013,1,"","Utah County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"522",75,0,2013,2,"","Utah County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"522",75,0,2013,3,"","Utah County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"5222",76,0,2013,1,"","Utah County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"5222",76,0,2013,2,"","Utah County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"5222",76,0,2013,3,"","Utah County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"52229",77,0,2013,1,"","Utah County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"52229",77,0,2013,2,"","Utah County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"52229",77,0,2013,3,"","Utah County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"522292",78,0,2013,1,"","Utah County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,78350,0,0,1205
"49049",1,"522292",78,0,2013,2,"","Utah County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,91409,0,0,1406
"49049",1,"522292",78,0,2013,3,"","Utah County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,91829,0,0,1413
"49049",1,"54",74,0,2013,1,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"54",74,0,2013,2,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"54",74,0,2013,3,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"541",75,0,2013,1,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"541",75,0,2013,2,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"541",75,0,2013,3,"","Utah County, Utah","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"5417",76,0,2013,1,"","Utah County, Utah","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"5417",76,0,2013,2,"","Utah County, Utah","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"5417",76,0,2013,3,"","Utah County, Utah","Federal Government","Scientific research and development services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"54171",77,0,2013,1,"","Utah County, Utah","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"54171",77,0,2013,2,"","Utah County, Utah","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"54171",77,0,2013,3,"","Utah County, Utah","Federal Government","Physical, engineering and biological research","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"541712",78,0,2013,1,"","Utah County, Utah","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,17772,0,0,1367
"49049",1,"541712",78,0,2013,2,"","Utah County, Utah","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,21326,0,0,1640
"49049",1,"541712",78,0,2013,3,"","Utah County, Utah","Federal Government","Other physical and biological research","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,24880,0,0,1914
"49049",1,"62",74,0,2013,1,"","Utah County, Utah","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,18,18,18,342991,0,0,1466
