"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51077",0,"10",70,0,2013,1,"","Grayson County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",361,2132,2121,2143,14219309,10005413,273977,513
"51077",0,"10",70,0,2013,2,"","Grayson County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",363,2184,2268,2344,15105672,3883985,118543,513
"51077",0,"10",70,0,2013,3,"","Grayson County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",368,2317,2337,2456,16063194,1875236,55535,521
"51077",1,"10",71,0,2013,1,"","Grayson County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"10",71,0,2013,2,"","Grayson County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"10",71,0,2013,3,"","Grayson County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"102",72,0,2013,1,"","Grayson County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"102",72,0,2013,2,"","Grayson County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"102",72,0,2013,3,"","Grayson County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"1021",73,0,2013,1,"","Grayson County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"1021",73,0,2013,2,"","Grayson County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"1021",73,0,2013,3,"","Grayson County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"48-49",74,0,2013,1,"","Grayson County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"48-49",74,0,2013,2,"","Grayson County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"48-49",74,0,2013,3,"","Grayson County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"491",75,0,2013,1,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"491",75,0,2013,2,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"491",75,0,2013,3,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"4911",76,0,2013,1,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"4911",76,0,2013,2,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"4911",76,0,2013,3,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"49111",77,0,2013,1,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"49111",77,0,2013,2,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"49111",77,0,2013,3,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",1,"491110",78,0,2013,1,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,29,28,27,274703,0,0,755
"51077",1,"491110",78,0,2013,2,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,27,27,28,234902,0,0,661
"51077",1,"491110",78,0,2013,3,"","Grayson County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,24,26,29,267369,0,0,781
"51077",2,"10",71,0,2013,1,"","Grayson County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,45,44,44,359572,0,0,624
"51077",2,"10",71,0,2013,2,"","Grayson County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,46,53,53,407965,0,0,619
"51077",2,"10",71,0,2013,3,"","Grayson County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,50,50,50,419312,0,0,645
"51077",2,"102",72,0,2013,1,"","Grayson County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,45,44,44,359572,0,0,624
"51077",2,"102",72,0,2013,2,"","Grayson County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,46,53,53,407965,0,0,619
"51077",2,"102",72,0,2013,3,"","Grayson County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,50,50,50,419312,0,0,645
"51077",2,"1025",73,0,2013,1,"N","Grayson County, Virginia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1025",73,0,2013,2,"N","Grayson County, Virginia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1025",73,0,2013,3,"N","Grayson County, Virginia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1026",73,0,2013,1,"N","Grayson County, Virginia","State Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1026",73,0,2013,2,"N","Grayson County, Virginia","State Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1026",73,0,2013,3,"N","Grayson County, Virginia","State Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"1028",73,0,2013,1,"","Grayson County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,23,23,23,231558,0,0,774
"51077",2,"1028",73,0,2013,2,"","Grayson County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,23,23,22,246757,0,0,837
"51077",2,"1028",73,0,2013,3,"","Grayson County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,22,22,22,235162,0,0,822
"51077",2,"61",74,0,2013,1,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"61",74,0,2013,2,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"61",74,0,2013,3,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611",75,0,2013,1,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611",75,0,2013,2,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611",75,0,2013,3,"N","Grayson County, Virginia","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"6113",76,0,2013,1,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"6113",76,0,2013,2,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"6113",76,0,2013,3,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"61131",77,0,2013,1,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"61131",77,0,2013,2,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"61131",77,0,2013,3,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611310",78,0,2013,1,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611310",78,0,2013,2,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"611310",78,0,2013,3,"N","Grayson County, Virginia","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71",74,0,2013,1,"N","Grayson County, Virginia","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71",74,0,2013,2,"N","Grayson County, Virginia","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71",74,0,2013,3,"N","Grayson County, Virginia","State Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712",75,0,2013,1,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712",75,0,2013,2,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712",75,0,2013,3,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"7121",76,0,2013,1,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"7121",76,0,2013,2,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"7121",76,0,2013,3,"N","Grayson County, Virginia","State Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71219",77,0,2013,1,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71219",77,0,2013,2,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"71219",77,0,2013,3,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712190",78,0,2013,1,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712190",78,0,2013,2,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"712190",78,0,2013,3,"N","Grayson County, Virginia","State Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"51077",2,"92",74,0,2013,1,"","Grayson County, Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,23,23,23,231558,0,0,774
"51077",2,"92",74,0,2013,2,"","Grayson County, Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,23,23,22,246757,0,0,837
"51077",2,"92",74,0,2013,3,"","Grayson County, Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,22,22,22,235162,0,0,822
"51077",2,"922",75,0,2013,1,"","Grayson County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,10,10,10,98784,0,0,760
"51077",2,"922",75,0,2013,2,"","Grayson County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,11,10,114716,0,0,827
"51077",2,"922",75,0,2013,3,"","Grayson County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,10,10,10,100502,0,0,773
