"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"51740",0,"10",70,0,2013,1,"","Portsmouth City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1836,44268,44269,44478,534053967,134647874,4576816,927
"51740",0,"10",70,0,2013,2,"","Portsmouth City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1830,44888,45081,45227,517259619,42708686,1359262,883
"51740",0,"10",70,0,2013,3,"","Portsmouth City, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1837,43709,43768,45065,529164743,27770328,929586,921
"51740",1,"10",71,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,12858,12864,12847,228566970,0,0,1368
"51740",1,"10",71,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,12817,12764,12758,194666770,0,0,1172
"51740",1,"10",71,0,2013,3,"","Portsmouth City, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,12705,12805,12785,225932530,0,0,1361
"51740",1,"101",72,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,8803,8848,8853,162166567,0,0,1412
"51740",1,"101",72,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,8849,8841,8824,136986640,0,0,1192
"51740",1,"101",72,0,2013,3,"","Portsmouth City, Virginia","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,8786,8855,8849,162898189,0,0,1419
"51740",1,"1013",73,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,8803,8848,8853,162166567,0,0,1412
"51740",1,"1013",73,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,8849,8841,8824,136986640,0,0,1192
"51740",1,"1013",73,0,2013,3,"","Portsmouth City, Virginia","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,8786,8855,8849,162898189,0,0,1419
"51740",1,"102",72,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,4055,4016,3994,66400403,0,0,1270
"51740",1,"102",72,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,3968,3923,3934,57680130,0,0,1126
"51740",1,"102",72,0,2013,3,"","Portsmouth City, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,3919,3950,3936,63034341,0,0,1232
"51740",1,"1021",73,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,261,262,255,2741392,0,0,813
"51740",1,"1021",73,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,264,253,260,2461775,0,0,731
"51740",1,"1021",73,0,2013,3,"","Portsmouth City, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,260,258,258,2693427,0,0,801
"51740",1,"1024",73,0,2013,1,"","Portsmouth City, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,325,326,328,6546897,0,0,1543
"51740",1,"1024",73,0,2013,2,"","Portsmouth City, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,326,325,323,5592982,0,0,1325
