"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"53065",0,"10",70,0,2013,1,"","Stevens County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1288,9264,9316,9357,84027786,49651531,1312750,694
"53065",0,"10",70,0,2013,2,"","Stevens County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1293,9357,9527,9752,79846655,44889799,1278637,643
"53065",0,"10",70,0,2013,3,"","Stevens County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1322,9653,9692,9617,85475528,41226754,1251486,681
"53065",1,"10",71,0,2013,1,"","Stevens County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,287,288,297,4476775,0,0,1185
"53065",1,"10",71,0,2013,2,"","Stevens County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,304,328,348,5216831,0,0,1228
"53065",1,"10",71,0,2013,3,"","Stevens County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,375,373,364,6154157,0,0,1277
"53065",1,"102",72,0,2013,1,"","Stevens County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,287,288,297,4476775,0,0,1185
"53065",1,"102",72,0,2013,2,"","Stevens County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,304,328,348,5216831,0,0,1228
"53065",1,"102",72,0,2013,3,"","Stevens County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,375,373,364,6154157,0,0,1277
"53065",1,"1021",73,0,2013,1,"","Stevens County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,69,69,66,708743,0,0,802
"53065",1,"1021",73,0,2013,2,"","Stevens County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,67,67,68,584742,0,0,668
"53065",1,"1021",73,0,2013,3,"","Stevens County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,67,69,70,727570,0,0,815
"53065",1,"1025",73,0,2013,1,"","Stevens County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,41,43,45,553017,0,0,989
"53065",1,"1025",73,0,2013,2,"","Stevens County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,43,45,44,661575,0,0,1157
"53065",1,"1025",73,0,2013,3,"","Stevens County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,43,43,43,657938,0,0,1177
"53065",1,"1026",73,0,2013,1,"","Stevens County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,14,16,17,190727,0,0,936
"53065",1,"1026",73,0,2013,2,"","Stevens County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,17,22,29,299075,0,0,1015
"53065",1,"1026",73,0,2013,3,"","Stevens County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,30,30,30,370231,0,0,949
