"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C1674",0,"10",40,0,2013,1,"","Charlotte-Concord-Gastonia, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",60674,984066,991055,999928,13860958234,7921560629,197231754,1075
"C1674",0,"10",40,0,2013,2,"","Charlotte-Concord-Gastonia, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",61173,1006427,1013897,1004557,11724892737,4234918119,106560909,894
"C1674",0,"10",40,0,2013,3,"","Charlotte-Concord-Gastonia, NC-SC MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",61169,987665,1007564,1011804,11926267306,2762241194,61563081,915
"C1674",1,"10",41,0,2013,1,"","Charlotte-Concord-Gastonia, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",208,9432,9423,9360,168103658,0,0,1375
"C1674",1,"10",41,0,2013,2,"","Charlotte-Concord-Gastonia, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",207,9502,9369,9358,154861857,0,0,1266
"C1674",1,"10",41,0,2013,3,"","Charlotte-Concord-Gastonia, NC-SC MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",204,9397,9392,9455,170361259,0,0,1392
"C1674",2,"10",41,0,2013,1,"","Charlotte-Concord-Gastonia, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",178,16064,16630,16976,169041382,51263,1999,785
"C1674",2,"10",41,0,2013,2,"","Charlotte-Concord-Gastonia, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",179,17111,16985,16047,172749386,31329,1222,795
"C1674",2,"10",41,0,2013,3,"","Charlotte-Concord-Gastonia, NC-SC MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",178,15241,15488,16671,169963600,46379449,464285,827
"C1674",3,"10",41,0,2013,1,"","Charlotte-Concord-Gastonia, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",977,119189,119593,120416,1436561689,4551168,73593,923
"C1674",3,"10",41,0,2013,2,"","Charlotte-Concord-Gastonia, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",983,119810,120457,106265,1255950732,1977051,40995,836
"C1674",3,"10",41,0,2013,3,"","Charlotte-Concord-Gastonia, NC-SC MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",973,91204,107824,112345,1265501247,240117431,2408459,938
"C1674",5,"10",41,0,2013,1,"","Charlotte-Concord-Gastonia, NC-SC MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59311,839381,845409,853176,12087251505,7916958198,197156162,1099
