"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2166",0,"10",40,0,2013,1,"","Eugene, OR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",10705,135349,136074,137045,1268106967,826766609,25706737,716
"C2166",0,"10",40,0,2013,2,"","Eugene, OR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",10865,138367,139846,140962,1334188540,730658994,22932985,735
"C2166",0,"10",40,0,2013,3,"","Eugene, OR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",10975,136080,136987,139689,1300332225,570203136,17956635,727
"C2166",1,"10",41,0,2013,1,"","Eugene, OR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",71,1547,1537,1541,24361390,0,0,1216
"C2166",1,"10",41,0,2013,2,"","Eugene, OR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",71,1550,1562,1599,23978893,0,0,1175
"C2166",1,"10",41,0,2013,3,"","Eugene, OR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",71,1703,1690,1650,27638762,0,0,1265
"C2166",2,"10",41,0,2013,1,"","Eugene, OR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",58,7734,7659,7866,92380771,0,0,917
"C2166",2,"10",41,0,2013,2,"","Eugene, OR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",58,7830,7887,7961,91521495,0,0,892
"C2166",2,"10",41,0,2013,3,"","Eugene, OR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",58,7390,7264,7809,84455267,0,0,868
"C2166",3,"10",41,0,2013,1,"","Eugene, OR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",267,15228,15368,15391,148155454,6558203,156853,743
"C2166",3,"10",41,0,2013,2,"","Eugene, OR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",267,15401,15591,15625,172436457,6826584,151675,854
"C2166",3,"10",41,0,2013,3,"","Eugene, OR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",266,11501,11764,14297,130620130,4594092,115913,802
"C2166",5,"10",41,0,2013,1,"","Eugene, OR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10309,110840,111510,112247,1003209352,820208406,25549884,692
"C2166",5,"10",41,0,2013,2,"","Eugene, OR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10469,113586,114806,115777,1046251695,723832410,22781310,702
"C2166",5,"10",41,0,2013,3,"","Eugene, OR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10580,115486,116269,115933,1057618066,565609044,17840722,702
"C2166",5,"101",42,0,2013,1,"","Eugene, OR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1656,18825,18930,19111,208185130,197315112,7074742,845
"C2166",5,"101",42,0,2013,2,"","Eugene, OR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1675,19462,19842,20227,234588548,183749092,6612173,909
"C2166",5,"101",42,0,2013,3,"","Eugene, OR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1688,20515,20947,20850,232091633,137804600,4990969,860
"C2166",5,"1011",43,0,2013,1,"","Eugene, OR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",231,1881,1992,2086,17200143,16403533,553572,666
"C2166",5,"1011",43,0,2013,2,"","Eugene, OR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",235,2146,2251,2339,19805665,17655668,597514,679
"C2166",5,"1011",43,0,2013,3,"","Eugene, OR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",236,2319,2520,2450,21288661,15878790,539955,674
"C2166",5,"1012",43,0,2013,1,"","Eugene, OR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",886,4816,4755,4802,48115521,47328864,1874028,773
"C2166",5,"1012",43,0,2013,2,"","Eugene, OR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",899,4933,5091,5275,55107948,47723805,1900711,831
"C2166",5,"1012",43,0,2013,3,"","Eugene, OR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",908,5536,5653,5595,64824710,41214879,1663543,891
"C2166",5,"1013",43,0,2013,1,"","Eugene, OR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",539,12128,12183,12223,142869466,133582715,4647142,902
"C2166",5,"1013",43,0,2013,2,"","Eugene, OR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",541,12383,12500,12613,159674935,118369619,4113948,983
"C2166",5,"1013",43,0,2013,3,"","Eugene, OR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",544,12660,12774,12805,145978262,80710931,2787471,881
"C2166",5,"102",42,0,2013,1,"","Eugene, OR MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",8653,92015,92580,93136,795024222,622893294,18475142,661
"C2166",5,"102",42,0,2013,2,"","Eugene, OR MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",8794,94124,94964,95550,811663147,540083318,16169137,658
"C2166",5,"102",42,0,2013,3,"","Eugene, OR MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",8892,94971,95322,95083,825526433,427804444,12849753,668
"C2166",5,"1021",43,0,2013,1,"","Eugene, OR MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1950,26726,26744,26855,211195291,197408704,5923649,607
"C2166",5,"1021",43,0,2013,2,"","Eugene, OR MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1975,27243,27578,27602,219609297,179627151,5418046,615
"C2166",5,"1021",43,0,2013,3,"","Eugene, OR MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1992,27664,27773,27742,222533824,144782187,4359679,617
"C2166",5,"1022",43,0,2013,1,"","Eugene, OR MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",149,3363,3407,3376,49337283,45702765,1379428,1122
"C2166",5,"1022",43,0,2013,2,"","Eugene, OR MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",150,3387,3409,3385,54263971,33532544,1010290,1230
"C2166",5,"1022",43,0,2013,3,"","Eugene, OR MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",154,3292,3246,3317,47618507,16941395,510652,1115
"C2166",5,"1023",43,0,2013,1,"","Eugene, OR MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1014,6055,6065,6061,77839372,65655645,1925548,988
"C2166",5,"1023",43,0,2013,2,"","Eugene, OR MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1024,6124,6143,6130,71048679,47290196,1397752,891
"C2166",5,"1023",43,0,2013,3,"","Eugene, OR MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1035,6173,6156,6125,69787241,34465216,1021956,873
"C2166",5,"1024",43,0,2013,1,"","Eugene, OR MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1589,14099,14342,14533,137228738,120921069,3708353,737
"C2166",5,"1024",43,0,2013,2,"","Eugene, OR MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1620,14614,14756,15010,142265501,109383388,3397719,740
"C2166",5,"1024",43,0,2013,3,"","Eugene, OR MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1630,14937,14990,14985,142788714,84084665,2657001,734
"C2166",5,"1025",43,0,2013,1,"","Eugene, OR MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1280,22395,22505,22486,234880820,113619782,3202770,804
"C2166",5,"1025",43,0,2013,2,"","Eugene, OR MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1298,22532,22505,22437,233902437,87786182,2525554,800
"C2166",5,"1025",43,0,2013,3,"","Eugene, OR MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1302,21929,22113,22383,249052467,70164170,2029494,865
"C2166",5,"1026",43,0,2013,1,"","Eugene, OR MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1037,14191,14322,14601,53073659,52127260,1524863,284
"C2166",5,"1026",43,0,2013,2,"","Eugene, OR MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1047,14909,15235,15608,57058295,55158753,1612347,288
"C2166",5,"1026",43,0,2013,3,"","Eugene, OR MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1053,15665,15785,15261,60821760,56223735,1648326,300
"C2166",5,"1027",43,0,2013,1,"","Eugene, OR MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1595,5161,5167,5197,31276064,27265074,804622,465
"C2166",5,"1027",43,0,2013,2,"","Eugene, OR MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1626,5279,5296,5331,33190017,27012133,798196,482
"C2166",5,"1027",43,0,2013,3,"","Eugene, OR MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1653,5243,5185,5200,32455782,20798380,611561,479
"C2166",5,"1029",43,0,2013,1,"","Eugene, OR MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",39,25,28,27,192995,192995,5909,557
"C2166",5,"1029",43,0,2013,2,"","Eugene, OR MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",54,36,42,47,324950,292971,9233,600
"C2166",5,"1029",43,0,2013,3,"","Eugene, OR MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",73,68,74,70,468138,344696,11084,510
"C2166",5,"11",44,0,2013,1,"","Eugene, OR MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",215,1690,1797,1883,15020263,14351623,473376,645
"C2166",5,"11",44,0,2013,2,"","Eugene, OR MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",219,1939,2033,2119,17054950,15319541,503847,646
"C2166",5,"11",44,0,2013,3,"","Eugene, OR MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",220,2091,2286,2212,18185354,13870555,458326,637
"C2166",5,"111",45,0,2013,1,"","Eugene, OR MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",59,524,565,607,3658747,3571331,100401,498
"C2166",5,"111",45,0,2013,2,"","Eugene, OR MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",61,658,697,747,4635676,4215041,122726,509
"C2166",5,"111",45,0,2013,3,"","Eugene, OR MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",61,731,792,693,5490332,4481206,127975,572
"C2166",5,"1111",46,0,2013,1,"N","Eugene, OR MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C2166",5,"1111",46,0,2013,2,"N","Eugene, OR MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C2166",5,"1111",46,0,2013,3,"N","Eugene, OR MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C2166",5,"11115",47,0,2013,1,"N","Eugene, OR MSA","Private","Corn farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
